#Tick x y z nCells HealthyCells CancerCells OarCells glucose oxygen voxel_type
112 0 0 0 0 0 0 0 1.22297 22.0231 0
112 0 1 0 0 0 0 0 2.37237 42.8162 0
112 0 2 0 0 0 0 0 3.37199 60.8026 0
112 0 3 0 0 0 0 0 4.14747 74.0429 0
112 0 4 0 0 0 0 0 4.64473 80.8267 0
112 0 5 0 0 0 0 0 4.85475 80.6026 0
112 0 6 0 0 0 0 0 4.82859 74.6487 0
112 0 7 0 0 0 0 0 4.6618 65.6926 0
112 0 8 0 0 0 0 0 4.45611 56.7175 0
112 0 9 0 0 0 0 0 4.2803 49.6879 0
112 0 10 0 0 0 0 0 4.15712 45.1354 0
112 0 11 0 0 0 0 0 4.07405 42.541 0
112 0 12 0 0 0 0 0 4.00347 41.0363 0
112 0 13 0 0 0 0 0 3.91545 39.8413 0
112 0 14 0 0 0 0 0 3.78144 38.3846 0
112 0 15 0 0 0 0 0 3.57386 36.2494 0
112 0 16 0 0 0 0 0 3.26687 33.1198 0
112 0 17 0 0 0 0 0 2.83998 28.7754 0
112 0 18 0 0 0 0 0 2.28362 23.1228 0
112 0 19 0 0 0 0 0 1.60464 16.2377 0
112 0 20 0 0 0 0 0 0.829031 8.38551 0
112 1 0 0 0 0 0 0 2.45073 45.5286 0
112 1 1 0 0 0 0 0 4.78241 89.4795 0
112 1 2 0 0 0 0 0 6.85655 129.112 0
112 1 3 0 0 0 0 0 8.51033 160.017 0
112 1 4 0 0 0 0 0 9.58256 176.928 0
112 1 5 0 0 0 0 0 10.0019 176.918 0
112 1 6 0 0 0 0 0 9.85244 161.949 0
112 1 7 0 0 0 0 0 9.36931 139.043 0
112 1 8 0 0 0 0 0 8.81673 116.306 0
112 1 9 0 0 0 0 0 8.37406 99.1426 0
112 1 10 0 0 0 0 0 8.08556 88.5899 0
112 1 11 0 0 0 0 0 7.90765 82.9763 0
112 1 12 0 0 0 0 0 7.76713 79.936 0
112 1 13 0 0 0 0 0 7.59651 77.6303 0
112 1 14 0 0 0 0 0 7.33689 74.8243 0
112 1 15 0 0 0 0 0 6.93379 70.6709 0
112 1 16 0 0 0 0 0 6.33719 64.5551 0
112 1 17 0 0 0 0 0 5.50784 56.0612 0
112 1 18 0 0 0 0 0 4.42777 45.0241 0
112 1 19 0 0 0 0 0 3.11063 31.6021 0
112 1 20 0 0 0 0 0 1.60688 16.3147 0
112 2 0 0 0 0 0 0 3.66006 70.7743 0
112 2 1 0 0 0 0 0 7.20416 141.145 0
112 2 2 0 0 0 0 0 10.4905 209.117 0
112 2 3 0 0 0 0 0 13.2508 267.153 0
112 2 4 0 0 0 0 0 15.1238 303.191 0
112 2 5 0 0 0 0 0 15.7881 305.461 0
112 2 6 0 0 0 0 0 15.3233 275.378 0
112 2 7 0 0 0 0 0 14.1827 227.049 0
112 2 8 0 0 0 0 0 12.9902 180.588 0
112 2 9 0 0 0 0 0 12.1069 147.359 0
112 2 10 0 0 0 0 0 11.5922 128.716 0
112 2 11 0 0 0 0 0 11.3072 119.622 0
112 2 12 0 0 0 0 0 11.1024 115.146 0
112 2 13 0 0 0 0 0 10.8611 111.954 0
112 2 14 0 0 0 0 0 10.4918 108.019 0
112 2 15 0 0 0 0 0 9.91468 102.051 0
112 2 16 0 0 0 0 0 9.05891 93.1753 0
112 2 17 0 0 0 0 0 7.86996 80.8385 0
112 2 18 0 0 0 0 0 6.32377 64.8511 0
112 2 19 0 0 0 0 0 4.44086 45.4736 0
112 2 20 0 0 0 0 0 2.29344 23.4601 0
112 3 0 0 0 0 0 0 4.78445 96.0925 0
112 3 1 0 0 0 0 0 9.49543 194.117 0
112 3 2 0 0 0 0 0 14.0557 295.015 0
112 3 3 0 0 0 0 0 18.0938 388.095 0
112 3 4 0 0 0 0 0 20.9672 451.679 0
112 3 5 0 0 0 0 0 21.9133 458.569 0
112 3 6 0 0 0 0 0 20.9622 408.154 0
112 3 7 0 0 0 0 0 18.8582 324.226 0
112 3 8 0 0 0 0 0 16.7737 245.543 0
112 3 9 0 0 0 0 0 15.3158 191.709 0
112 3 10 0 0 0 0 0 14.5438 163.914 0
112 3 11 0 0 0 0 0 14.1596 151.567 0
112 3 12 0 0 0 0 0 13.9087 146.157 0
112 3 13 0 0 0 0 0 13.617 142.545 0
112 3 14 0 0 0 0 0 13.1599 137.821 0
112 3 15 0 0 0 0 0 12.4353 130.269 0
112 3 16 0 0 0 0 0 11.3563 118.831 0
112 3 17 0 0 0 0 0 9.85845 102.914 0
112 3 18 0 0 0 0 0 7.91528 82.3932 0
112 3 19 0 0 0 0 0 5.55474 57.671 0
112 3 20 0 0 0 0 0 2.86741 29.7173 0
112 4 0 0 0 0 0 0 5.72097 118.082 0
112 4 1 0 0 0 0 0 11.3915 239.546 0
112 4 2 0 0 0 0 0 17.0385 369.473 0
112 4 3 0 0 0 0 0 22.2258 495.248 0
112 4 4 0 0 0 0 0 26.0683 586.887 0
112 4 5 0 0 0 0 0 27.288 599.245 0
112 4 6 0 0 0 0 0 25.8543 529.362 0
112 4 7 0 0 0 0 0 22.7742 409.841 0
112 4 8 0 0 0 0 0 19.8281 300.224 0
112 4 9 0 0 0 0 0 17.8469 227.653 0
112 4 10 0 0 0 0 0 16.8816 192.929 0
112 4 11 0 0 0 0 0 16.447 178.949 0
112 4 12 0 0 0 0 0 16.1881 173.792 0
112 4 13 0 0 0 0 0 15.877 170.58 0
112 4 14 0 0 0 0 0 15.3582 165.534 0
112 4 15 0 0 0 0 0 14.5116 156.566 0
112 4 16 0 0 0 0 0 13.2414 142.566 0
112 4 17 0 0 0 0 0 11.4804 123.08 0
112 4 18 0 0 0 0 0 9.20527 98.1938 0
112 4 19 0 0 0 0 0 6.45281 68.5233 0
112 4 20 0 0 0 0 0 3.32857 35.2386 0
112 5 0 0 0 0 0 0 6.36299 132.814 0
112 5 1 0 0 0 0 0 12.6113 267.248 0
112 5 2 0 0 0 0 0 18.7903 409.395 0
112 5 3 0 0 0 0 0 24.4709 547.116 0
112 5 4 0 0 0 0 0 28.7099 648.482 0
112 5 5 0 0 0 0 0 30.0547 662.216 0
112 5 6 0 0 0 0 0 28.4498 584.338 0
112 5 7 0 0 0 0 0 25.0117 451.035 0
112 5 8 0 0 0 0 0 21.7567 329.821 0
112 5 9 0 0 0 0 0 19.614 251.116 0
112 5 10 0 0 0 0 0 18.6302 215.496 0
112 5 11 0 0 0 0 0 18.2425 203.183 0
112 5 12 0 0 0 0 0 18.0393 200.348 0
112 5 13 0 0 0 0 0 17.7527 198.824 0
112 5 14 0 0 0 0 0 17.2001 194.026 0
112 5 15 0 0 0 0 0 16.2493 183.588 0
112 5 16 0 0 0 0 0 14.8049 166.602 0
112 5 17 0 0 0 0 0 12.8086 143.055 0
112 5 18 0 0 0 0 0 10.248 113.479 0
112 5 19 0 0 0 0 0 7.17092 78.8101 0
112 5 20 0 0 0 0 0 3.69473 40.4015 0
112 6 0 0 0 0 0 0 6.6404 137.37 0
112 6 1 0 0 0 0 0 13.0025 271.001 0
112 6 2 0 0 0 0 0 19.0386 404.01 0
112 6 3 0 0 0 0 0 24.3989 527.157 0
112 6 4 0 0 0 0 0 28.3299 615.11 0
112 6 5 0 0 0 0 0 29.632 625.313 0
112 6 6 0 0 0 0 0 28.2911 555.092 0
112 6 7 0 0 0 0 0 25.3128 436.667 0
112 6 8 0 0 0 0 0 22.4867 329.577 0
112 6 9 0 0 0 0 0 20.6616 261.38 0
112 6 10 0 0 0 0 0 19.8977 233.1 0
112 6 11 0 0 0 0 0 19.6919 227.051 0
112 6 12 0 0 0 0 0 19.6371 229.624 0
112 6 13 0 0 0 0 0 19.4359 231.698 0
112 6 14 0 0 0 0 0 18.8764 227.735 0
112 6 15 0 0 0 0 0 17.8212 215.273 0
112 6 16 0 0 0 0 0 16.1928 194.099 0
112 6 17 0 0 0 0 0 13.9594 165.21 0
112 6 18 0 0 0 0 0 11.1303 129.917 0
112 6 19 0 0 0 0 0 7.76688 89.5892 0
112 6 20 0 0 0 0 0 3.99478 45.7166 0
112 7 0 0 0 0 0 0 6.55704 131.307 0
112 7 1 0 0 0 0 0 12.6487 252.584 0
112 7 2 0 0 0 0 0 18.058 361.24 0
112 7 3 0 0 0 0 0 22.5442 451.904 0
112 7 4 0 0 0 0 0 25.6781 510.495 0
112 7 5 0 0 0 0 0 26.8341 514.286 0
112 7 6 0 0 0 0 0 26.0821 463.441 0
112 7 7 0 0 0 0 0 24.1796 381.504 0
112 7 8 0 0 0 0 0 22.3302 307.657 0
112 7 9 0 0 0 0 0 21.1894 262.719 0
112 7 10 0 0 0 0 0 20.8433 248.622 0
112 7 11 0 0 0 0 0 20.9601 253.658 0
112 7 12 0 0 0 0 0 21.1669 265.459 0
112 7 13 0 0 0 0 0 21.1292 273.665 0
112 7 14 0 0 0 0 0 20.5912 271.241 0
112 7 15 0 0 0 0 0 19.4166 255.782 0
112 7 16 0 0 0 0 0 17.5668 228.454 0
112 7 17 0 0 0 0 0 15.0625 192.098 0
112 7 18 0 0 0 0 0 11.9484 149.273 0
112 7 19 0 0 0 0 0 8.30422 101.949 0
112 7 20 0 0 0 0 0 4.26015 51.6964 0
112 8 0 0 0 0 0 0 6.20939 117.423 0
112 8 1 0 0 0 0 0 11.8411 221.037 0
112 8 2 0 0 0 0 0 16.5623 304.319 0
112 8 3 0 0 0 0 0 20.2154 364.827 0
112 8 4 0 0 0 0 0 22.6574 398.409 0
112 8 5 0 0 0 0 0 23.7295 398.469 0
112 8 6 0 0 0 0 0 23.5845 367.997 0
112 8 7 0 0 0 0 0 22.7305 321.846 0
112 8 8 0 0 0 0 0 21.8685 281.763 0
112 8 9 0 0 0 0 0 21.4584 261.78 0
112 8 10 0 0 0 0 0 21.6195 264.995 0
112 8 11 0 0 0 0 0 22.1684 284.891 0
112 8 12 0 0 0 0 0 22.7532 309.88 0
112 8 13 0 0 0 0 0 22.9741 327.365 0
112 8 14 0 0 0 0 0 22.5006 327.724 0
112 8 15 0 0 0 0 0 21.1941 308.463 0
112 8 16 0 0 0 0 0 19.072 272.681 0
112 8 17 0 0 0 0 0 16.2367 226.056 0
112 8 18 0 0 0 0 0 12.7889 173.094 0
112 8 19 0 0 0 0 0 8.83773 116.76 0
112 8 20 0 0 0 0 0 4.51696 58.7119 0
112 9 0 0 0 0 0 0 5.76882 101.236 0
112 9 1 0 0 0 0 0 10.9666 188.941 0
112 9 2 0 0 0 0 0 15.2239 255.373 0
112 9 3 0 0 0 0 0 18.4073 298.952 0
112 9 4 0 0 0 0 0 20.5052 320.073 0
112 9 5 0 0 0 0 0 21.5956 320.331 0
112 9 6 0 0 0 0 0 21.8789 304.334 0
112 9 7 0 0 0 0 0 21.7184 281.897 0
112 9 8 0 0 0 0 0 21.5348 265.045 0
112 9 9 0 0 0 0 0 21.68 264.068 0
112 9 10 0 0 0 0 0 22.3076 283.277 0
112 9 11 0 0 0 0 0 23.3291 319.473 0
112 9 12 0 0 0 0 0 24.3835 360.78 0
112 9 13 0 0 0 0 0 24.9756 391.305 0
112 9 14 0 0 0 0 0 24.6593 397.425 0
112 9 15 0 0 0 0 0 23.2558 375.232 0
112 9 16 0 0 0 0 0 20.8284 329.418 0
112 9 17 0 0 0 0 0 17.5843 269.274 0
112 9 18 0 0 0 0 0 13.7202 202.636 0
112 9 19 0 0 0 0 0 9.4037 134.489 0
112 9 20 0 0 0 0 0 4.77995 66.8624 0
112 10 0 0 0 0 0 0 5.42182 88.9419 0
112 10 1 0 0 0 0 0 10.3685 167.69 0
112 10 2 0 0 0 0 0 14.4975 229.443 0
112 10 3 0 0 0 0 0 17.6391 271.374 0
112 10 4 0 0 0 0 0 19.7581 293.061 0
112 10 5 0 0 0 0 0 20.938 296.285 0
112 10 6 0 0 0 0 0 21.3937 286.152 0
112 10 7 0 0 0 0 0 21.4625 271.566 0
112 10 8 0 0 0 0 0 21.5321 263.396 0
112 10 9 0 0 0 0 0 21.9479 271.726 0
112 10 10 0 0 0 0 0 22.9078 302.406 0
112 10 11 0 0 0 0 0 24.374 353.989 0
112 10 12 0 0 0 0 0 25.9722 414.154 0
112 10 13 0 0 0 0 0 27.1007 463.313 0
112 10 14 0 0 0 0 0 27.13 481.488 0
112 10 15 0 0 0 0 0 25.7438 460.019 0
112 10 16 0 0 0 0 0 22.9902 403.06 0
112 10 17 0 0 0 0 0 19.2144 324.691 0
112 10 18 0 0 0 0 0 14.7901 238.873 0
112 10 19 0 0 0 0 0 10.0121 154.995 0
112 10 20 0 0 0 0 0 5.04686 75.8167 0
112 11 0 0 0 0 0 0 5.28695 84.5595 0
112 11 1 0 0 0 0 0 10.2455 163.989 0
112 11 2 0 0 0 0 0 14.5818 233.166 0
112 11 3 0 0 0 0 0 18.0478 286.537 0
112 11 4 0 0 0 0 0 20.4452 318.039 0
112 11 5 0 0 0 0 0 21.7307 325.063 0
112 11 6 0 0 0 0 0 22.096 311.923 0
112 11 7 0 0 0 0 0 21.9758 290.898 0
112 11 8 0 0 0 0 0 21.8828 277.197 0
112 11 9 0 0 0 0 0 22.26 284.277 0
112 11 10 0 0 0 0 0 23.3542 319.683 0
112 11 11 0 0 0 0 0 25.1729 383.522 0
112 11 12 0 0 0 0 0 27.392 465.179 0
112 11 13 0 0 0 0 0 29.3159 541.81 0
112 11 14 0 0 0 0 0 30.0538 584.401 0
112 11 15 0 0 0 0 0 28.8974 570.722 0
112 11 16 0 0 0 0 0 25.7801 500.975 0
112 11 17 0 0 0 0 0 21.2227 395.322 0
112 11 18 0 0 0 0 0 15.9988 281.571 0
112 11 19 0 0 0 0 0 10.6236 176.747 0
112 11 20 0 0 0 0 0 5.29376 84.6593 0
112 12 0 0 0 0 0 0 5.37576 88.5741 0
112 12 1 0 0 0 0 0 10.6215 178.834 0
112 12 2 0 0 0 0 0 15.5624 269.738 0
112 12 3 0 0 0 0 0 19.8155 351.033 0
112 12 4 0 0 0 0 0 22.8676 405.757 0
112 12 5 0 0 0 0 0 24.2777 417.543 0
112 12 6 0 0 0 0 0 24.2048 389.592 0
112 12 7 0 0 0 0 0 23.3236 342.518 0
112 12 8 0 0 0 0 0 22.5606 305.88 0
112 12 9 0 0 0 0 0 22.5414 299.456 0
112 12 10 0 0 0 0 0 23.5481 331.992 0
112 12 11 0 0 0 0 0 25.5801 403.287 0
112 12 12 0 0 0 0 0 28.4212 506.426 0
112 12 13 0 0 0 0 0 31.3428 617.409 0
112 12 14 0 0 0 0 0 33.1107 695.335 0
112 12 15 0 0 0 0 0 32.4052 696.83 0
112 12 16 0 0 0 0 0 28.8945 612.917 0
112 12 17 0 0 0 0 0 23.3569 472.682 0
112 12 18 0 0 0 0 0 17.156 324.354 0
112 12 19 0 0 0 0 0 11.1294 196.135 0
112 12 20 0 0 0 0 0 5.47317 91.829 0
112 13 0 0 0 0 0 0 5.58964 97.829 0
112 13 1 0 0 0 0 0 11.4351 210.595 0
112 13 2 0 0 0 0 0 17.5568 343.928 0
112 13 3 0 0 0 0 0 23.5605 487.141 0
112 13 4 0 0 0 0 0 27.9036 587.614 0
112 13 5 0 0 0 0 0 29.4945 606.489 0
112 13 6 0 0 0 0 0 28.1082 533.713 0
112 13 7 0 0 0 0 0 25.5305 428.412 0
112 13 8 0 0 0 0 0 23.3638 343.583 0
112 13 9 0 0 0 0 0 22.6457 313.28 0
112 13 10 0 0 0 0 0 23.3601 335.908 0
112 13 11 0 0 0 0 0 25.398 407.475 0
112 13 12 0 0 0 0 0 28.6694 525.397 0
112 13 13 0 0 0 0 0 32.4558 666.002 0
112 13 14 0 0 0 0 0 35.2512 778.971 0
112 13 15 0 0 0 0 0 35.0605 797.55 0
112 13 16 0 0 0 0 0 31.2789 703.307 0
112 13 17 0 0 0 0 0 24.8826 532.171 0
112 13 18 0 0 0 0 0 17.8684 354.287 0
112 13 19 0 0 0 0 0 11.3533 207.54 0
112 13 20 0 0 0 0 0 5.52554 95.5163 0
112 14 0 0 0 0 0 0 5.77436 107.401 0
112 14 1 0 0 0 0 0 12.3452 248.272 0
112 14 2 0 0 0 0 0 21.5348 490.455 0
112 14 3 0 0 0 0 0 31.3194 766.769 0
112 14 4 0 0 0 0 0 39.3884 997.986 0
112 14 5 0 0 0 0 0 39.4006 963.56 0
112 14 6 0 0 0 0 0 34.6279 774.562 0
112 14 7 0 0 0 0 0 27.7071 519.664 0
112 14 8 0 0 0 0 0 23.8709 377.589 0
112 14 9 0 0 0 0 0 22.3512 319.933 0
112 14 10 0 0 0 0 0 22.6558 328.615 0
112 14 11 0 0 0 0 0 24.456 392.002 0
112 14 12 0 0 0 0 0 27.6771 507.991 0
112 14 13 0 0 0 0 0 31.6648 655.099 0
112 14 14 0 0 0 0 0 34.8373 780.351 0
112 14 15 0 0 0 0 0 34.9682 808.961 0
112 14 16 0 0 0 0 0 31.2683 716.074 0
112 14 17 0 0 0 0 0 24.7679 539.45 0
112 14 18 0 0 0 0 0 17.647 355.562 0
112 14 19 0 0 0 0 0 11.1352 206.219 0
112 14 20 0 0 0 0 0 5.40117 94.4132 0
112 15 0 0 0 0 0 0 5.75627 111.82 0
112 15 1 0 0 0 0 0 12.8958 277.116 0
112 15 2 0 0 0 0 0 24.9255 621.798 0
112 15 3 0 0 0 0 0 60.7968 1804.6 0
112 15 4 0 0 0 0 0 71.4617 2128.42 0
112 15 5 0 0 0 0 0 69.681 2033.98 0
112 15 6 0 0 0 0 0 38.9134 946.625 0
112 15 7 0 0 0 0 0 28.6337 576.487 0
112 15 8 0 0 0 0 0 23.5009 390.238 0
112 15 9 0 0 0 0 0 21.4365 314.197 0
112 15 10 0 0 0 0 0 21.33 308.902 0
112 15 11 0 0 0 0 0 22.6765 356.594 0
112 15 12 0 0 0 0 0 25.3241 452.446 0
112 15 13 0 0 0 0 0 28.6762 576.913 0
112 15 14 0 0 0 0 0 31.3857 685.072 0
112 15 15 0 0 0 0 0 31.5092 711.857 0
112 15 16 0 0 0 0 0 28.338 635.107 0
112 15 17 0 0 0 0 0 22.6662 484.327 0
112 15 18 0 0 0 0 0 16.3408 324.417 0
112 15 19 0 0 0 0 0 10.415 191.124 0
112 15 20 0 0 0 0 0 5.08299 88.4642 0
112 16 0 0 0 0 0 0 5.42661 107.899 0
112 16 1 0 0 0 0 0 12.4217 275.222 0
112 16 2 0 0 0 0 0 26.0354 680.927 0
112 16 3 0 0 0 0 0 63.4368 1921.82 0
112 16 4 0 0 0 0 0 75.3782 2293.82 0
112 16 5 0 0 0 0 0 71.5808 2132.51 0
112 16 6 0 0 0 0 0 38.9955 984.303 0
112 16 7 0 0 0 0 0 27.0935 559.396 0
112 16 8 0 0 0 0 0 21.9751 374.548 0
112 16 9 0 0 0 0 0 19.7646 293.998 0
112 16 10 0 0 0 0 0 19.3392 277.917 0
112 16 11 0 0 0 0 0 20.1439 306.813 0
112 16 12 0 0 0 0 0 21.9018 371.469 0
112 16 13 0 0 0 0 0 24.107 455.385 0
112 16 14 0 0 0 0 0 25.7945 526.749 0
112 16 15 0 0 0 0 0 25.7068 544.079 0
112 16 16 0 0 0 0 0 23.3228 491.545 0
112 16 17 0 0 0 0 0 19.1073 387.102 0
112 16 18 0 0 0 0 0 14.1792 270.378 0
112 16 19 0 0 0 0 0 9.27018 166.055 0
112 16 20 0 0 0 0 0 4.58522 78.7413 0
112 17 0 0 0 0 0 0 4.75735 95.1588 0
112 17 1 0 0 0 0 0 10.8652 241.541 0
112 17 2 0 0 0 0 0 21.7222 560.409 0
112 17 3 0 0 0 0 0 56.0373 1701.55 0
112 17 4 0 0 0 0 0 64.7383 1966.86 0
112 17 5 0 0 0 0 0 62.3256 1857.49 0
112 17 6 0 0 0 0 0 32.2764 799.829 0
112 17 7 0 0 0 0 0 23.6976 491.759 0
112 17 8 0 0 0 0 0 19.3739 335.54 0
112 17 9 0 0 0 0 0 17.3126 260.787 0
112 17 10 0 0 0 0 0 16.6815 237.84 0
112 17 11 0 0 0 0 0 17.0025 249.885 0
112 17 12 0 0 0 0 0 17.9417 285.672 0
112 17 13 0 0 0 0 0 19.0874 331.831 0
