# x y z nCells HealthyCells CancerCells OarCells glucose oxygen voxel_type
0 0 0 0 0 0 0 1.36132 24.4411 0
0 1 0 0 0 0 0 2.54668 44.3757 0
0 2 0 0 0 0 0 3.46875 58.0366 0
0 3 0 0 0 0 0 4.15905 67.2229 0
0 4 0 0 0 0 0 4.73026 75.9541 0
0 5 0 0 0 0 0 5.31392 88.4275 0
0 6 0 0 0 0 0 6.04227 108.588 0
0 7 0 0 0 0 0 7.12976 143.152 0
0 8 0 0 0 0 0 8.68033 195.091 0
0 9 0 0 0 0 0 11.0425 276.003 0
0 10 0 0 0 0 0 15.345 424.682 0
0 11 0 0 0 0 0 25.7699 785.794 0
0 12 0 0 0 0 0 29.5025 915.854 0
0 13 0 0 0 0 0 28.1865 872.033 0
0 14 0 0 0 0 0 17.8539 517.446 0
0 15 0 0 0 0 0 11.8854 315.894 0
0 16 0 0 0 0 0 7.78878 181.822 0
0 17 0 0 0 0 0 5.42009 110.871 0
0 18 0 0 0 0 0 3.82945 70.5202 0
0 19 0 0 0 0 0 2.51723 43.3554 0
0 20 0 0 0 0 0 1.25973 20.9238 0
1 0 0 0 0 0 0 2.62793 47.1884 0
1 1 0 0 0 0 0 4.91105 85.4948 0
1 2 0 0 0 0 0 6.68167 111.534 0
1 3 0 0 0 0 0 8.00692 128.996 0
1 4 0 0 0 0 0 9.10897 145.807 0
1 5 0 0 0 0 0 10.2317 169.72 0
1 6 0 0 0 0 0 11.5828 206.709 0
1 7 0 0 0 0 0 13.4384 264.973 0
1 8 0 0 0 0 0 15.932 347.926 0
1 9 0 0 0 0 0 19.5978 473.154 0
1 10 0 0 0 0 0 26.3819 707.493 0
1 11 0 0 0 0 0 40.2509 1188.06 0
1 12 0 0 0 0 0 51.6943 1585.84 0
1 13 0 0 0 0 0 50.8316 1559.34 0
1 14 0 0 0 0 0 37.8558 1116.15 0
1 15 0 0 0 0 0 22.8917 607.938 0
1 16 0 0 0 0 0 14.9826 349.113 0
1 17 0 0 0 0 0 10.1535 203.296 0
1 18 0 0 0 0 0 7.21465 129.979 0
1 19 0 0 0 0 0 4.7619 80.3296 0
1 20 0 0 0 0 0 2.38786 38.8774 0
2 0 0 0 0 0 0 3.69975 66.0325 0
2 1 0 0 0 0 0 6.90971 119.427 0
2 2 0 0 0 0 0 9.39771 155.569 0
2 3 0 0 0 0 0 11.2748 180.237 0
2 4 0 0 0 0 0 12.8698 205.154 0
2 5 0 0 0 0 0 14.5159 240.884 0
2 6 0 0 0 0 0 16.4108 292.555 0
2 7 0 0 0 0 0 18.6966 363.164 0
2 8 0 0 0 0 0 21.4074 452.185 0
2 9 0 0 0 0 0 25.0637 576.362 0
2 10 0 0 0 0 0 31.3003 791.529 0
2 11 0 0 0 0 0 45.4842 1283.21 0
2 12 0 0 0 0 0 58.0472 1720.46 0
2 13 0 0 0 0 0 72.9128 2239.85 0
2 14 0 0 0 0 0 60.2502 1810.04 0
2 15 0 0 0 0 0 43.891 1257.69 0
2 16 0 0 0 0 0 20.0973 455.319 0
2 17 0 0 0 0 0 13.6779 263.41 0
2 18 0 0 0 0 0 9.82899 170.491 0
2 19 0 0 0 0 0 6.53362 106.405 0
2 20 0 0 0 0 0 3.28724 51.7519 0
3 0 0 0 0 0 0 4.48607 78.5428 0
3 1 0 0 0 0 0 8.38615 142.124 0
3 2 0 0 0 0 0 11.4294 185.592 0
3 3 0 0 0 0 0 13.7788 216.98 0
3 4 0 0 0 0 0 15.9294 253.85 0
3 5 0 0 0 0 0 18.3029 309.617 0
3 6 0 0 0 0 0 21.0128 386.09 0
3 7 0 0 0 0 0 23.753 470.312 0
3 8 0 0 0 0 0 26.2933 552.209 0
3 9 0 0 0 0 0 28.9377 640.74 0
3 10 0 0 0 0 0 33.0781 783.153 0
3 11 0 0 0 0 0 39.1813 995.304 0
3 12 0 0 0 0 0 50.1363 1377.5 0
3 13 0 0 0 0 0 65.5791 1918.09 0
3 14 0 0 0 0 0 60.7486 1761.52 0
3 15 0 0 0 0 0 45.9914 1268.03 0
3 16 0 0 0 0 0 22.7348 489.396 0
3 17 0 0 0 0 0 15.7636 285.667 0
3 18 0 0 0 0 0 11.5503 189.767 0
3 19 0 0 0 0 0 7.75159 120.154 0
3 20 0 0 0 0 0 3.91717 58.8484 0
4 0 0 0 0 0 0 4.93982 83.2091 0
4 1 0 0 0 0 0 9.26561 151.23 0
4 2 0 0 0 0 0 12.6989 199.242 0
4 3 0 0 0 0 0 15.459 237.571 0
4 4 0 0 0 0 0 18.271 291.809 0
4 5 0 0 0 0 0 22.3836 403.833 0
4 6 0 0 0 0 0 27.1227 547.909 0
4 7 0 0 0 0 0 31.4345 684.861 0
4 8 0 0 0 0 0 33.3332 743.557 0
4 9 0 0 0 0 0 34.2106 770.401 0
4 10 0 0 0 0 0 35.1855 803.072 0
4 11 0 0 0 0 0 37.5676 886.566 0
4 12 0 0 0 0 0 40.1879 980.767 0
