# x y z nCells HealthyCells CancerCells OarCells glucose oxygen voxel_type
0 0 0 0 0 0 0 1.20737 31.4126 0
0 1 0 0 0 0 0 2.24816 57.4791 0
0 2 0 0 0 0 0 3.06355 76.5316 0
0 3 0 0 0 0 0 3.74718 92.0876 0
0 4 0 0 0 0 0 4.50482 111.433 0
0 5 0 0 0 0 0 5.574 142.841 0
0 6 0 0 0 0 0 7.10577 191.5 0
0 7 0 0 0 0 0 8.97082 252.835 0
0 8 0 0 0 0 0 10.7542 312.365 0
0 9 0 0 0 0 0 11.961 352.86 0
0 10 0 0 0 0 0 12.5006 371.114 0
0 11 0 0 0 0 0 12.8453 383.449 0
0 12 0 0 0 0 0 14.5163 442.556 0
0 13 0 0 0 0 0 16.0269 497.04 0
0 14 0 0 0 0 0 16.362 511.865 0
0 15 0 0 0 0 0 12.8933 396.169 0
0 16 0 0 0 0 0 8.60807 253.446 0
0 17 0 0 0 0 0 4.71105 125.438 0
0 18 0 0 0 0 0 2.81685 67.9841 0
0 19 0 0 0 0 0 1.62551 35.9219 0
0 20 0 0 0 0 0 0.748709 15.5344 0
1 0 0 0 0 0 0 2.4912 65.8922 0
1 1 0 0 0 0 0 4.60321 119.479 0
1 2 0 0 0 0 0 6.20403 156.91 0
1 3 0 0 0 0 0 7.49702 185.763 0
1 4 0 0 0 0 0 8.89865 220.771 0
1 5 0 0 0 0 0 10.8376 276.868 0
1 6 0 0 0 0 0 13.5274 361.37 0
1 7 0 0 0 0 0 16.6987 464.759 0
1 8 0 0 0 0 0 19.6387 562.146 0
1 9 0 0 0 0 0 21.5592 626.061 0
1 10 0 0 0 0 0 22.3416 652.279 0
1 11 0 0 0 0 0 22.7235 666.304 0
1 12 0 0 0 0 0 24.4339 728.035 0
1 13 0 0 0 0 0 25.8393 781.053 0
1 14 0 0 0 0 0 25.452 774.045 0
1 15 0 0 0 0 0 20.4985 611.208 0
1 16 0 0 0 0 0 14.2721 406.726 0
1 17 0 0 0 0 0 8.56746 222.788 0
1 18 0 0 0 0 0 5.276 124.771 0
1 19 0 0 0 0 0 3.08423 66.8926 0
1 20 0 0 0 0 0 1.42959 29.1418 0
2 0 0 0 0 0 0 3.80348 102.145 0
2 1 0 0 0 0 0 6.97486 183.594 0
2 2 0 0 0 0 0 9.3035 238.09 0
2 3 0 0 0 0 0 11.1422 278.621 0
2 4 0 0 0 0 0 13.1325 327.841 0
2 5 0 0 0 0 0 15.8236 404.896 0
2 6 0 0 0 0 0 19.3001 512.597 0
2 7 0 0 0 0 0 23.0592 633.261 0
2 8 0 0 0 0 0 26.2047 735.581 0
2 9 0 0 0 0 0 27.9901 793.486 0
2 10 0 0 0 0 0 28.4501 808.078 0
2 11 0 0 0 0 0 28.4021 807.629 0
2 12 0 0 0 0 0 29.043 833.631 0
2 13 0 0 0 0 0 29.2889 848.686 0
2 14 0 0 0 0 0 27.8189 807.284 0
2 15 0 0 0 0 0 22.9659 651.991 0
2 16 0 0 0 0 0 16.8538 456.574 0
2 17 0 0 0 0 0 11.1062 277.333 0
2 18 0 0 0 0 0 7.127 162.734 0
2 19 0 0 0 0 0 4.24895 89.2309 0
2 20 0 0 0 0 0 1.98967 39.3591 0
3 0 0 0 0 0 0 4.91562 132.536 0
3 1 0 0 0 0 0 8.98878 237.406 0
3 2 0 0 0 0 0 11.9632 307.048 0
3 3 0 0 0 0 0 14.3786 361.106 0
3 4 0 0 0 0 0 17.257 435.524 0
3 5 0 0 0 0 0 21.1826 550.67 0
3 6 0 0 0 0 0 25.8599 696.154 0
3 7 0 0 0 0 0 29.8912 823.246 0
3 8 0 0 0 0 0 32.2195 894.986 0
3 9 0 0 0 0 0 32.5005 899.33 0
3 10 0 0 0 0 0 31.6675 868.589 0
3 11 0 0 0 0 0 30.673 835.87 0
3 12 0 0 0 0 0 29.9676 816.699 0
3 13 0 0 0 0 0 28.9301 789.601 0
3 14 0 0 0 0 0 26.5546 719.881 0
3 15 0 0 0 0 0 22.4711 595.057 0
3 16 0 0 0 0 0 17.3597 438.966 0
3 17 0 0 0 0 0 12.3996 292.561 0
3 18 0 0 0 0 0 8.2892 179.864 0
3 19 0 0 0 0 0 5.06308 101.523 0
3 20 0 0 0 0 0 2.40232 45.543 0
4 0 0 0 0 0 0 5.56022 147.972 0
4 1 0 0 0 0 0 10.2079 266.106 0
4 2 0 0 0 0 0 13.7076 347.772 0
4 3 0 0 0 0 0 16.7964 419.606 0
4 4 0 0 0 0 0 20.9945 534.849 0
4 5 0 0 0 0 0 28.5656 772.002 0
4 6 0 0 0 0 0 36.8964 1040.39 0
4 7 0 0 0 0 0 43.0281 1237.19 0
4 8 0 0 0 0 0 42.229 1198.21 0
4 9 0 0 0 0 0 38.2242 1052.48 0
4 10 0 0 0 0 0 33.5672 888.699 0
4 11 0 0 0 0 0 31.2269 810.003 0
4 12 0 0 0 0 0 29.7212 764.812 0
