# x y z nCells HealthyCells CancerCells OarCells glucose oxygen voxel_type
0 0 0 0 0 0 0 1.15063 21.5041 0
0 1 0 0 0 0 0 2.17509 39.7478 0
0 2 0 0 0 0 0 3.01782 53.7154 0
0 3 0 0 0 0 0 3.71749 65.3137 0
0 4 0 0 0 0 0 4.37581 78.246 0
0 5 0 0 0 0 0 5.11802 96.6943 0
0 6 0 0 0 0 0 6.10321 125.786 0
0 7 0 0 0 0 0 7.61156 174.745 0
0 8 0 0 0 0 0 9.69895 245.047 0
0 9 0 0 0 0 0 12.2217 331.352 0
0 10 0 0 0 0 0 14.5837 412.801 0
0 11 0 0 0 0 0 16.6131 483.358 0
0 12 0 0 0 0 0 17.1461 502.827 0
0 13 0 0 0 0 0 16.2331 473.173 0
0 14 0 0 0 0 0 13.5478 383.474 0
0 15 0 0 0 0 0 10.4028 279.621 0
0 16 0 0 0 0 0 7.2956 179.309 0
0 17 0 0 0 0 0 4.92388 107.068 0
0 18 0 0 0 0 0 3.25463 61.9096 0
0 19 0 0 0 0 0 2.05772 35.683 0
0 20 0 0 0 0 0 1.012 16.7043 0
1 0 0 0 0 0 0 2.2769 43.272 0
1 1 0 0 0 0 0 4.28508 79.3867 0
1 2 0 0 0 0 0 5.91316 106.246 0
1 3 0 0 0 0 0 7.2545 128.184 0
1 4 0 0 0 0 0 8.5234 152.972 0
1 5 0 0 0 0 0 9.94788 188.208 0
1 6 0 0 0 0 0 11.7579 241.117 0
1 7 0 0 0 0 0 14.315 323.3 0
1 8 0 0 0 0 0 17.6682 435.562 0
1 9 0 0 0 0 0 21.6047 569.836 0
1 10 0 0 0 0 0 25.378 699.833 0
1 11 0 0 0 0 0 28.8653 821.155 0
1 12 0 0 0 0 0 32.365 944.281 0
1 13 0 0 0 0 0 34.4142 1019.02 0
1 14 0 0 0 0 0 32.0687 944.164 0
1 15 0 0 0 0 0 24.6133 695.836 0
1 16 0 0 0 0 0 15.8799 407.605 0
1 17 0 0 0 0 0 9.52479 206.76 0
1 18 0 0 0 0 0 6.20216 116.243 0
1 19 0 0 0 0 0 3.92092 66.7773 0
1 20 0 0 0 0 0 1.93169 31.3208 0
2 0 0 0 0 0 0 3.3201 64.1794 0
2 1 0 0 0 0 0 6.21645 116.745 0
2 2 0 0 0 0 0 8.5285 154.646 0
2 3 0 0 0 0 0 10.4395 185.794 0
2 4 0 0 0 0 0 12.3024 222.914 0
2 5 0 0 0 0 0 14.4215 276.119 0
2 6 0 0 0 0 0 16.938 349.256 0
2 7 0 0 0 0 0 20.0134 446.614 0
2 8 0 0 0 0 0 23.5645 564.046 0
2 9 0 0 0 0 0 27.4389 695.28 0
2 10 0 0 0 0 0 31.1508 822.876 0
2 11 0 0 0 0 0 35.3089 967.688 0
2 12 0 0 0 0 0 41.7297 1192.81 0
2 13 0 0 0 0 0 68.6896 2131.52 0
2 14 0 0 0 0 0 68.124 2121.04 0
2 15 0 0 0 0 0 57.7822 1777.03 0
2 16 0 0 0 0 0 23.2983 603.515 0
2 17 0 0 0 0 0 13.3062 285.009 0
2 18 0 0 0 0 0 8.5655 155.916 0
2 19 0 0 0 0 0 5.43853 89.8114 0
2 20 0 0 0 0 0 2.68851 42.314 0
3 0 0 0 0 0 0 4.16351 80.7536 0
3 1 0 0 0 0 0 7.77507 146.205 0
3 2 0 0 0 0 0 10.6486 193.034 0
3 3 0 0 0 0 0 13.0932 233.891 0
3 4 0 0 0 0 0 15.7161 290.438 0
3 5 0 0 0 0 0 18.8756 374.554 0
3 6 0 0 0 0 0 22.4573 480.984 0
3 7 0 0 0 0 0 25.8935 588.458 0
3 8 0 0 0 0 0 28.8369 683.391 0
3 9 0 0 0 0 0 31.2924 764.725 0
3 10 0 0 0 0 0 33.6506 845.208 0
3 11 0 0 0 0 0 36.812 955.757 0
3 12 0 0 0 0 0 45.02 1243.52 0
3 13 0 0 0 0 0 74.3491 2265.7 0
3 14 0 0 0 0 0 76.3161 2345.27 0
3 15 0 0 0 0 0 64.4726 1952.86 0
3 16 0 0 0 0 0 27.8502 710.427 0
3 17 0 0 0 0 0 15.565 319.43 0
3 18 0 0 0 0 0 10.1865 177.022 0
3 19 0 0 0 0 0 6.53614 103.311 0
3 20 0 0 0 0 0 3.24843 49.0745 0
4 0 0 0 0 0 0 4.69445 89.2773 0
4 1 0 0 0 0 0 8.78139 161.906 0
4 2 0 0 0 0 0 12.0846 215.38 0
4 3 0 0 0 0 0 15.0583 267.674 0
4 4 0 0 0 0 0 18.6607 352.697 0
4 5 0 0 0 0 0 24.1456 513.245 0
4 6 0 0 0 0 0 30.1699 701.334 0
4 7 0 0 0 0 0 35.0531 856.937 0
4 8 0 0 0 0 0 36.4036 895.488 0
4 9 0 0 0 0 0 36.2451 885.64 0
4 10 0 0 0 0 0 36.0244 876.624 0
4 11 0 0 0 0 0 37.7342 937.135 0
4 12 0 0 0 0 0 42.9397 1121.65 0
4 13 0 0 0 0 0 68.7781 2024.24 0
4 14 0 0 0 0 0 68.9985 2045.31 0
4 15 0 0 0 0 0 59.5424 1738.44 0
4 16 0 0 0 0 0 26.413 620.991 0
4 17 0 0 0 0 0 16.3021 310.699 0
4 18 0 0 0 0 0 11.0776 180.502 0
4 19 0 0 0 0 0 7.22904 108.162 0
4 20 0 0 0 0 0 3.6169 51.974 0
5 0 0 0 0 0 0 4.86333 87.8808 0
5 1 0 0 0 0 0 9.16113 160.982 0
5 2 0 0 0 0 0 12.7589 218.582 0
5 3 0 0 0 0 0 16.2108 282.336 0
5 4 0 0 0 0 0 20.8554 399.377 0
5 5 0 0 0 0 0 28.8176 642.602 0
5 6 0 0 0 0 0 37.5669 922.782 0
5 7 0 0 0 0 0 44.1454 1135.49 0
5 8 0 0 0 0 0 44.209 1128.42 0
5 9 0 0 0 0 0 41.9642 1045.72 0
5 10 0 0 0 0 0 40.6049 997.064 0
5 11 0 0 0 0 0 41.8851 1042.89 0
5 12 0 0 0 0 0 44.2272 1128.9 0
5 13 0 0 0 0 0 43.441 1110.94 0
5 14 0 0 0 0 0 39.7304 997.533 0
5 15 0 0 0 0 0 31.3418 729.875 0
5 16 0 0 0 0 0 23.0884 476.605 0
5 17 0 0 0 0 0 15.9628 273.712 0
5 18 0 0 0 0 0 11.436 172.771 0
5 19 0 0 0 0 0 7.60178 106.996 0
5 20 0 0 0 0 0 3.82957 52.0941 0
6 0 0 0 0 0 0 4.7539 79.0834 0
6 1 0 0 0 0 0 9.05047 147.412 0
6 2 0 0 0 0 0 12.8027 206.141 0
6 3 0 0 0 0 0 16.5719 277.312 0
6 4 0 0 0 0 0 21.7801 410.995 0
6 5 0 0 0 0 0 31.3854 708.885 0
6 6 0 0 0 0 0 41.8688 1047.42 0
6 7 0 0 0 0 0 49.8464 1307.3 0
6 8 0 0 0 0 0 49.2565 1276.68 0
6 9 0 0 0 0 0 46.5097 1175.95 0
6 10 0 0 0 0 0 46.807 1184.35 0
6 11 0 0 0 0 0 54.8995 1466.12 0
6 12 0 0 0 0 0 56.0684 1512.14 0
6 13 0 0 0 0 0 49.2529 1286.46 0
6 14 0 0 0 0 0 35.0604 811.552 0
6 15 0 0 0 0 0 25.8179 516.038 0
6 16 0 0 0 0 0 19.92 346.538 0
6 17 0 0 0 0 0 15.4327 237.842 0
6 18 0 0 0 0 0 11.5075 161.292 0
6 19 0 0 0 0 0 7.76827 103.025 0
6 20 0 0 0 0 0 3.93576 50.7625 0
7 0 0 0 0 0 0 4.5124 67.4721 0
7 1 0 0 0 0 0 8.68903 128.573 0
7 2 0 0 0 0 0 12.4712 185.58 0
7 3 0 0 0 0 0 16.3112 256.852 0
7 4 0 0 0 0 0 21.3983 384.429 0
7 5 0 0 0 0 0 29.7715 638.153 0
7 6 0 0 0 0 0 38.9078 928.869 0
7 7 0 0 0 0 0 45.9323 1154.8 0
7 8 0 0 0 0 0 46.7157 1170.96 0
7 9 0 0 0 0 0 46.2088 1147.17 0
7 10 0 0 0 0 0 50.6261 1297.91 0
7 11 0 0 0 0 0 77.2436 2221.02 0
7 12 0 0 0 0 0 79.6891 2311.8 0
7 13 0 0 0 0 0 69.6634 1975.84 0
7 14 0 0 0 0 0 36.3466 839.981 0
7 15 0 0 0 0 0 24.6885 462.076 0
7 16 0 0 0 0 0 19.0135 301.819 0
7 17 0 0 0 0 0 15.068 213.8 0
7 18 0 0 0 0 0 11.4889 151.576 0
7 19 0 0 0 0 0 7.82973 98.8325 0
7 20 0 0 0 0 0 3.9827 49.1399 0
8 0 0 0 0 0 0 4.27959 57.4595 0
8 1 0 0 0 0 0 8.31377 111.775 0
8 2 0 0 0 0 0 12.0432 165.285 0
8 3 0 0 0 0 0 15.7529 230.608 0
8 4 0 0 0 0 0 20.1487 333.062 0
8 5 0 0 0 0 0 26.3216 509.661 0
8 6 0 0 0 0 0 32.9093 711.381 0
8 7 0 0 0 0 0 38.2995 880.1 0
8 8 0 0 0 0 0 40.3858 940.846 0
8 9 0 0 0 0 0 42.1579 995.517 0
8 10 0 0 0 0 0 51.5908 1319.68 0
8 11 0 0 0 0 0 79.2541 2279.05 0
8 12 0 0 0 0 0 359.567 11988.7 0
8 13 0 0 0 0 0 69.4643 1958.38 0
8 14 0 0 0 0 0 35.9491 816.382 0
8 15 0 0 0 0 0 24.1221 433.434 0
8 16 0 0 0 0 0 18.6705 281.876 0
8 17 0 0 0 0 0 14.9221 201.863 0
8 18 0 0 0 0 0 11.4665 145.345 0
8 19 0 0 0 0 0 7.8566 95.9688 0
8 20 0 0 0 0 0 4.007 48.0334 0
9 0 0 0 0 0 0 4.11637 50.7874 0
9 1 0 0 0 0 0 8.0437 100.432 0
9 2 0 0 0 0 0 11.7091 150.841 0
9 3 0 0 0 0 0 15.2365 209.08 0
9 4 0 0 0 0 0 18.9341 286.716 0
9 5 0 0 0 0 0 22.9314 387.479 0
9 6 0 0 0 0 0 27.0078 501.859 0
9 7 0 0 0 0 0 30.5363 605.843 0
9 8 0 0 0 0 0 33.3673 692.169 0
9 9 0 0 0 0 0 36.2679 785.845 0
9 10 0 0 0 0 0 44.5865 1071.44 0
9 11 0 0 0 0 0 65.3001 1790.35 0
9 12 0 0 0 0 0 66.8802 1851.67 0
9 13 0 0 0 0 0 57.0229 1522.31 0
9 14 0 0 0 0 0 31.7729 666.676 0
9 15 0 0 0 0 0 23.0007 389.878 0
9 16 0 0 0 0 0 18.3271 265.765 0
9 17 0 0 0 0 0 14.8296 195.065 0
9 18 0 0 0 0 0 11.472 142.69 0
9 19 0 0 0 0 0 7.89279 95.2451 0
9 20 0 0 0 0 0 4.03479 47.9812 0
10 0 0 0 0 0 0 4.02781 47.4015 0
10 1 0 0 0 0 0 7.90647 95.053 0
10 2 0 0 0 0 0 11.58 145.459 0
10 3 0 0 0 0 0 15.0692 202.12 0
10 4 0 0 0 0 0 18.415 267.364 0
10 5 0 0 0 0 0 21.5602 338.466 0
10 6 0 0 0 0 0 24.4145 410.453 0
10 7 0 0 0 0 0 26.8972 478.246 0
10 8 0 0 0 0 0 29.0828 542.328 0
10 9 0 0 0 0 0 31.2676 611.416 0
10 10 0 0 0 0 0 36.8372 801.997 0
10 11 0 0 0 0 0 38.9972 878.717 0
10 12 0 0 0 0 0 39.0224 886.094 0
10 13 0 0 0 0 0 32.3266 666.04 0
10 14 0 0 0 0 0 26.845 494.628 0
10 15 0 0 0 0 0 21.5697 338.932 0
10 16 0 0 0 0 0 17.9347 250.899 0
10 17 0 0 0 0 0 14.7762 192.114 0
10 18 0 0 0 0 0 11.5341 143.967 0
10 19 0 0 0 0 0 7.97626 97.5267 0
10 20 0 0 0 0 0 4.08879 49.5388 0
11 0 0 0 0 0 0 3.98671 46.2831 0
11 1 0 0 0 0 0 7.86646 94.2585 0
11 2 0 0 0 0 0 11.6435 148.5 0
11 3 0 0 0 0 0 15.2917 210.879 0
11 4 0 0 0 0 0 18.7029 278.569 0
11 5 0 0 0 0 0 21.5449 339.343 0
11 6 0 0 0 0 0 23.7031 387.426 0
11 7 0 0 0 0 0 25.241 422.765 0
11 8 0 0 0 0 0 26.4883 454.668 0
11 9 0 0 0 0 0 27.6036 487.083 0
11 10 0 0 0 0 0 28.446 514.251 0
11 11 0 0 0 0 0 28.6462 523.164 0
11 12 0 0 0 0 0 27.7551 498.565 0
11 13 0 0 0 0 0 25.8165 442.84 0
11 14 0 0 0 0 0 23.1775 369.486 0
11 15 0 0 0 0 0 20.4034 300.122 0
11 16 0 0 0 0 0 17.6642 242.879 0
11 17 0 0 0 0 0 14.8562 196.007 0
11 18 0 0 0 0 0 11.7302 151.635 0
11 19 0 0 0 0 0 8.16606 104.706 0
11 20 0 0 0 0 0 4.20103 53.7362 0
12 0 0 0 0 0 0 3.96071 46.3923 0
12 1 0 0 0 0 0 7.85566 95.8507 0
12 2 0 0 0 0 0 11.782 156.122 0
12 3 0 0 0 0 0 15.7 228.582 0
12 4 0 0 0 0 0 19.3885 306.491 0
12 5 0 0 0 0 0 22.181 366.073 0
12 6 0 0 0 0 0 23.8721 398.452 0
12 7 0 0 0 0 0 24.5873 405.75 0
12 8 0 0 0 0 0 24.9687 408.103 0
12 9 0 0 0 0 0 25.2395 411.632 0
12 10 0 0 0 0 0 25.3875 414.956 0
12 11 0 0 0 0 0 25.1596 408.998 0
12 12 0 0 0 0 0 24.4445 390.225 0
12 13 0 0 0 0 0 23.2545 359.99 0
12 14 0 0 0 0 0 21.7014 323.742 0
12 15 0 0 0 0 0 19.884 286.978 0
12 16 0 0 0 0 0 17.7897 251.494 0
12 17 0 0 0 0 0 15.2883 214.583 0
12 18 0 0 0 0 0 12.2335 171.909 0
12 19 0 0 0 0 0 8.58082 121.042 0
12 20 0 0 0 0 0 4.42966 62.6643 0
13 0 0 0 0 0 0 3.91456 46.7414 0
13 1 0 0 0 0 0 7.79095 97.4017 0
13 2 0 0 0 0 0 11.7675 161.071 0
13 3 0 0 0 0 0 15.8005 238.937 0
13 4 0 0 0 0 0 19.6077 322.131 0
13 5 0 0 0 0 0 22.3736 381.745 0
13 6 0 0 0 0 0 23.8254 406.603 0
13 7 0 0 0 0 0 24.1056 399.473 0
13 8 0 0 0 0 0 23.9945 385.283 0
13 9 0 0 0 0 0 23.8273 374.007 0
13 10 0 0 0 0 0 23.697 367.857 0
13 11 0 0 0 0 0 23.4325 360.556 0
13 12 0 0 0 0 0 22.9711 350.246 0
13 13 0 0 0 0 0 22.2955 337.311 0
13 14 0 0 0 0 0 21.4159 323.718 0
13 15 0 0 0 0 0 20.2813 309.791 0
13 16 0 0 0 0 0 18.7347 292.288 0
13 17 0 0 0 0 0 16.4934 263.189 0
13 18 0 0 0 0 0 13.3846 217.214 0
13 19 0 0 0 0 0 9.42153 153.938 0
13 20 0 0 0 0 0 4.86003 79.5098 0
14 0 0 0 0 0 0 3.81404 46.5123 0
14 1 0 0 0 0 0 7.59256 96.8604 0
14 2 0 0 0 0 0 11.4493 159.139 0
14 3 0 0 0 0 0 15.3334 234.203 0
14 4 0 0 0 0 0 18.9768 313.639 0
14 5 0 0 0 0 0 21.6403 371.208 0
14 6 0 0 0 0 0 23.0531 395.858 0
14 7 0 0 0 0 0 23.3236 389.239 0
14 8 0 0 0 0 0 23.1512 373.533 0
14 9 0 0 0 0 0 22.8993 359.7 0
14 10 0 0 0 0 0 22.7559 353.229 0
14 11 0 0 0 0 0 22.6704 352.005 0
14 12 0 0 0 0 0 22.6203 355.562 0
14 13 0 0 0 0 0 22.5314 362.325 0
14 14 0 0 0 0 0 22.331 371.379 0
14 15 0 0 0 0 0 21.8369 378.47 0
14 16 0 0 0 0 0 20.7711 376.107 0
14 17 0 0 0 0 0 18.6455 349.098 0
14 18 0 0 0 0 0 15.2618 291.265 0
14 19 0 0 0 0 0 10.7118 204.92 0
14 20 0 0 0 0 0 5.49473 104.728 0
15 0 0 0 0 0 0 3.62822 45.0926 0
15 1 0 0 0 0 0 7.20735 93.2729 0
15 2 0 0 0 0 0 10.7684 149.545 0
15 3 0 0 0 0 0 14.2547 214.413 0
15 4 0 0 0 0 0 17.4621 281.631 0
15 5 0 0 0 0 0 19.9288 334.592 0
15 6 0 0 0 0 0 21.4377 364.189 0
15 7 0 0 0 0 0 22.0375 370.102 0
15 8 0 0 0 0 0 22.1476 364.916 0
15 9 0 0 0 0 0 22.0918 358.291 0
15 10 0 0 0 0 0 22.148 358.856 0
15 11 0 0 0 0 0 22.5076 372.886 0
15 12 0 0 0 0 0 23.2959 405.024 0
15 13 0 0 0 0 0 24.3244 449.705 0
15 14 0 0 0 0 0 25.2192 495.529 0
15 15 0 0 0 0 0 25.338 522.221 0
15 16 0 0 0 0 0 24.3293 519.643 0
15 17 0 0 0 0 0 21.6913 472.042 0
15 18 0 0 0 0 0 17.5668 385.004 0
15 19 0 0 0 0 0 12.1514 264.486 0
15 20 0 0 0 0 0 6.17859 133.407 0
16 0 0 0 0 0 0 3.33161 42.0742 0
16 1 0 0 0 0 0 6.59942 86.3133 0
16 2 0 0 0 0 0 9.77451 135.305 0
16 3 0 0 0 0 0 12.7998 189.328 0
16 4 0 0 0 0 0 15.5503 244.801 0
16 5 0 0 0 0 0 17.798 293.251 0
16 6 0 0 0 0 0 19.3999 328.268 0
16 7 0 0 0 0 0 20.3458 347.66 0
16 8 0 0 0 0 0 20.8174 355.923 0
16 9 0 0 0 0 0 21.0633 360.241 0
16 10 0 0 0 0 0 21.4474 372.297 0
16 11 0 0 0 0 0 22.4597 408.732 0
16 12 0 0 0 0 0 24.7613 492.716 0
