# x y z nCells HealthyCells CancerCells OarCells glucose oxygen voxel_type
0 0 0 0 0 0 0 0.700975 18.5109 0
0 1 0 0 0 0 0 1.33117 34.3331 0
0 2 0 0 0 0 0 1.86164 46.1455 0
0 3 0 0 0 0 0 2.32818 54.6922 0
0 4 0 0 0 0 0 2.83563 62.795 0
0 5 0 0 0 0 0 3.53515 74.5023 0
0 6 0 0 0 0 0 4.63248 95.8694 0
0 7 0 0 0 0 0 6.10729 128.129 0
0 8 0 0 0 0 0 7.64493 164.401 0
0 9 0 0 0 0 0 8.44013 180.559 0
0 10 0 0 0 0 0 8.23583 170.839 0
0 11 0 0 0 0 0 7.16166 139.453 0
0 12 0 0 0 0 0 5.96923 111.7 0
0 13 0 0 0 0 0 4.90063 91.4557 0
0 14 0 0 0 0 0 4.02945 78.1653 0
0 15 0 0 0 0 0 3.22119 64.7819 0
0 16 0 0 0 0 0 2.48332 51.1262 0
0 17 0 0 0 0 0 1.8384 38.222 0
0 18 0 0 0 0 0 1.28882 26.7887 0
0 19 0 0 0 0 0 0.816168 16.8569 0
0 20 0 0 0 0 0 0.395349 8.11154 0
1 0 0 0 0 0 0 1.38937 36.6294 0
1 1 0 0 0 0 0 2.61985 67.2417 0
1 2 0 0 0 0 0 3.62541 88.8837 0
1 3 0 0 0 0 0 4.48022 103.119 0
1 4 0 0 0 0 0 5.40328 115.816 0
1 5 0 0 0 0 0 6.71641 135.667 0
1 6 0 0 0 0 0 8.9118 176.415 0
1 7 0 0 0 0 0 13.5784 295.686 0
1 8 0 1 1 0 0 17.9032 395.215 1
1 9 0 2 2 0 0 21.0021 475.35 1
1 10 0 1 1 0 0 18.1336 360.733 1
1 11 0 0 0 0 0 15.2294 301.806 0
1 12 0 0 0 0 0 11.0361 187.28 0
1 13 0 0 0 0 0 8.9928 153.013 0
1 14 0 0 0 0 0 7.4331 133.845 0
1 15 0 0 0 0 0 5.98918 113.611 0
1 16 0 0 0 0 0 4.65925 91.729 0
1 17 0 0 0 0 0 3.47965 69.9117 0
1 18 0 0 0 0 0 2.45695 49.6944 0
1 19 0 0 0 0 0 1.56387 31.5612 0
1 20 0 0 0 0 0 0.759853 15.268 0
2 0 0 0 0 0 0 2.03897 53.5314 0
2 1 0 0 0 0 0 3.80731 96.8516 0
2 2 0 0 0 0 0 5.1887 124.858 0
2 3 0 0 0 0 0 6.29958 140.151 0
2 4 0 0 0 0 0 7.4824 152.088 0
2 5 0 0 0 0 0 9.18352 171.773 0
2 6 0 0 0 0 0 12.2192 220.251 0
2 7 0 1 1 0 0 19.1872 378.727 1
2 8 0 2 2 0 0 48.8353 1308.43 1
2 9 0 3 3 0 0 53.294 1403.53 1
2 10 0 3 3 0 0 50.1372 1320.84 1
2 11 0 3 3 0 0 21.034 370.963 1
2 12 0 0 0 0 0 14.7307 219.252 0
2 13 0 0 0 0 0 11.9282 179.18 0
2 14 0 0 0 0 0 9.91191 160.607 0
2 15 0 0 0 0 0 8.0544 140.035 0
2 16 0 0 0 0 0 6.3375 116.424 0
2 17 0 0 0 0 0 4.7911 91.1834 0
2 18 0 0 0 0 0 3.41837 66.1714 0
2 19 0 0 0 0 0 2.19268 42.6279 0
2 20 0 0 0 0 0 1.07032 20.7911 0
3 0 0 0 0 0 0 2.59773 67.5591 0
3 1 0 0 0 0 0 4.80336 120.376 0
3 2 0 0 0 0 0 6.44472 151.036 0
3 3 0 0 0 0 0 7.67954 163.344 0
3 4 0 0 0 0 0 8.94499 169.588 0
3 5 0 0 0 0 0 10.8 184.313 0
3 6 0 0 0 0 0 14.1662 230.261 0
3 7 0 1 1 0 0 22.1364 381.41 1
3 8 0 3 3 0 0 53.1356 1323.78 1
3 9 0 2 2 0 0 558.022 18789.4 1
3 10 0 3 3 0 0 54.7124 1343.24 1
3 11 0 1 1 0 0 24.3065 375.152 1
3 12 0 0 0 0 0 16.8853 218.275 0
3 13 0 0 0 0 0 13.7605 180.34 0
3 14 0 0 0 0 0 11.4752 163.85 0
3 15 0 0 0 0 0 9.40492 146.99 0
3 16 0 0 0 0 0 7.48745 126.126 0
3 17 0 0 0 0 0 5.73596 101.826 0
3 18 0 0 0 0 0 4.14184 75.7116 0
3 19 0 0 0 0 0 2.68098 49.6134 0
3 20 0 0 0 0 0 1.31597 24.4439 0
4 0 0 0 0 0 0 2.98106 75.9719 0
4 1 0 0 0 0 0 5.4784 133.801 0
4 2 0 0 0 0 0 7.27606 164.326 0
4 3 0 0 0 0 0 8.55644 172.259 0
4 4 0 0 0 0 0 9.801 171.768 0
4 5 0 0 0 0 0 11.5836 178.516 0
4 6 0 0 0 0 0 14.732 212.932 0
4 7 0 1 1 0 0 21.9361 361.742 1
4 8 0 3 3 0 0 49.7759 1167.57 1
4 9 0 3 3 0 0 54.5182 1263.9 1
4 10 0 3 3 0 0 52.2472 1223.14 1
4 11 0 1 1 0 0 24.5932 357.486 1
4 12 0 0 0 0 0 18.0506 207.972 0
4 13 0 0 0 0 0 14.9659 176.519 0
4 14 0 0 0 0 0 12.4866 159.882 0
4 15 0 0 0 0 0 10.2546 144.718 0
4 16 0 0 0 0 0 8.22094 126.589 0
4 17 0 0 0 0 0 6.36534 104.654 0
4 18 0 0 0 0 0 4.64787 79.5774 0
4 19 0 0 0 0 0 3.03617 53.0687 0
4 20 0 0 0 0 0 1.49896 26.4308 0
5 0 0 0 0 0 0 3.1221 76.6367 0
5 1 0 0 0 0 0 5.73735 134.28 0
5 2 0 0 0 0 0 7.61782 163.421 0
5 3 0 0 0 0 0 8.93955 168.798 0
5 4 0 0 0 0 0 10.1488 164.094 0
5 5 0 0 0 0 0 11.7824 165.641 0
5 6 0 0 0 0 0 14.3726 187.063 0
5 7 0 0 0 0 0 19.25 271.066 0
5 8 0 0 0 0 0 24.1165 349.622 0
5 9 0 1 1 0 0 26.8998 363.226 1
5 10 0 3 3 0 0 26.6665 360.243 1
5 11 0 1 1 0 0 23.8046 300.844 1
5 12 0 0 0 0 0 19.4942 215.263 0
5 13 0 0 0 0 0 16.3882 186.779 0
5 14 0 0 0 0 0 13.4434 162.181 0
5 15 0 0 0 0 0 10.8667 141.898 0
5 16 0 0 0 0 0 8.68572 123.313 0
5 17 0 0 0 0 0 6.77098 103.339 0
5 18 0 0 0 0 0 4.98935 79.9744 0
5 19 0 0 0 0 0 3.28604 54.1851 0
5 20 0 0 0 0 0 1.63113 27.271 0
6 0 0 0 0 0 0 3.01844 69.5833 0
6 1 0 0 0 0 0 5.58775 122.315 0
6 2 0 0 0 0 0 7.50237 149.761 0
6 3 0 0 0 0 0 8.89834 155.623 0
6 4 0 0 0 0 0 10.1324 151.285 0
6 5 0 0 0 0 0 11.6089 149.581 0
6 6 0 0 0 0 0 13.6609 160.007 0
6 7 0 0 0 0 0 16.2237 178.435 0
6 8 0 0 0 0 0 19.2233 204.853 0
6 9 0 0 0 0 0 22.6377 247.341 0
6 10 0 0 0 0 0 26.0429 319.833 0
6 11 0 2 2 0 0 27.2251 359.061 1
6 12 0 1 1 0 0 25.4104 359.974 1
6 13 0 0 0 0 0 20.6931 295.061 0
6 14 0 0 0 0 0 15.3082 199.384 0
6 15 0 0 0 0 0 11.3992 142.358 0
6 16 0 0 0 0 0 9.00424 120.022 0
6 17 0 0 0 0 0 7.04302 100.979 0
6 18 0 0 0 0 0 5.22749 79.1721 0
6 19 0 0 0 0 0 3.46732 54.3767 0
6 20 0 0 0 0 0 1.7295 27.6309 0
7 0 0 0 0 0 0 2.7623 58.0181 0
7 1 0 0 0 0 0 5.18267 103.175 0
7 2 0 0 0 0 0 7.09748 128.894 0
7 3 0 0 0 0 0 8.58714 137.33 0
7 4 0 0 0 0 0 9.89209 136.411 0
7 5 0 0 0 0 0 11.2866 135.093 0
7 6 0 0 0 0 0 12.9731 139.283 0
7 7 0 0 0 0 0 15.1325 152.824 0
7 8 0 0 0 0 0 18.1534 183.032 0
7 9 0 0 0 0 0 23.3237 272.708 0
7 10 0 3 3 0 0 31.1207 370.617 1
7 11 0 4 4 0 0 53.5281 1141.89 1
7 12 0 -1 3 1 0 51.9612 1191.74 -1
7 13 0 2 2 0 0 40.9019 922.124 1
7 14 0 0 0 0 0 17.162 241.229 0
7 15 0 0 0 0 0 11.8552 145.907 0
7 16 0 0 0 0 0 9.23633 118.246 0
7 17 0 0 0 0 0 7.2502 99.7869 0
7 18 0 0 0 0 0 5.41857 79.1535 0
7 19 0 0 0 0 0 3.6181 55.0408 0
7 20 0 0 0 0 0 1.81309 28.2186 0
8 0 0 0 0 0 0 2.47921 46.2063 0
8 1 0 0 0 0 0 4.72635 83.683 0
8 2 0 0 0 0 0 6.61898 107.666 0
8 3 0 0 0 0 0 8.18544 118.892 0
8 4 0 0 0 0 0 9.56481 122.19 0
8 5 0 0 0 0 0 10.933 123.516 0
8 6 0 0 0 0 0 12.4722 128.158 0
8 7 0 0 0 0 0 14.4535 141.942 0
8 8 0 0 0 0 0 17.5162 177.316 0
8 9 0 1 1 0 0 23.7526 296.465 1
8 10 0 4 4 0 0 34.0548 474.667 1
8 11 0 4 4 0 0 56.2823 1179.75 1
8 12 0 3 3 0 0 57.4242 1333.25 1
8 13 0 3 3 0 0 43.8381 1007.83 1
8 14 0 0 0 0 0 18.3371 274.55 0
8 15 0 0 0 0 0 12.074 148.389 0
8 16 0 0 0 0 0 9.41698 119.345 0
8 17 0 0 0 0 0 7.44957 101.71 0
8 18 0 0 0 0 0 5.6166 81.8122 0
8 19 0 0 0 0 0 3.7789 57.6263 0
8 20 0 0 0 0 0 1.90334 29.807 0
9 0 0 0 0 0 0 2.26908 37.4633 0
9 1 0 0 0 0 0 4.38301 69.1689 0
9 2 0 0 0 0 0 6.24643 91.6324 0
9 3 0 0 0 0 0 7.85119 104.699 0
9 4 0 0 0 0 0 9.26436 111.041 0
9 5 0 0 0 0 0 10.5984 114.692 0
9 6 0 0 0 0 0 12.0087 120.171 0
9 7 0 0 0 0 0 13.7677 133.527 0
9 8 0 0 0 0 0 16.5186 168.794 0
9 9 0 0 0 0 0 21.8412 277.036 0
9 10 0 3 3 0 0 30.8261 434.324 1
9 11 0 4 4 0 0 53.3709 1194.75 1
9 12 0 4 4 0 0 52.2161 1203.35 1
9 13 0 2 2 0 0 41.2503 961.751 1
9 14 0 0 0 0 0 17.1684 247.026 0
9 15 0 0 0 0 0 12.0605 151.177 0
9 16 0 0 0 0 0 9.61355 125.912 0
9 17 0 0 0 0 0 7.722 109.628 0
9 18 0 0 0 0 0 5.89594 89.7633 0
9 19 0 0 0 0 0 4.00627 64.1157 0
9 20 0 0 0 0 0 2.03113 33.4789 0
10 0 0 0 0 0 0 2.16583 32.8087 0
10 1 0 0 0 0 0 4.21387 61.3871 0
10 2 0 0 0 0 0 6.05885 82.9051 0
10 3 0 0 0 0 0 7.66851 96.7429 0
10 4 0 0 0 0 0 9.0676 104.462 0
10 5 0 0 0 0 0 10.3302 109.057 0
10 6 0 0 0 0 0 11.582 114.363 0
10 7 0 0 0 0 0 13.0418 125.659 0
10 8 0 0 0 0 0 15.1029 152.188 0
10 9 0 0 0 0 0 18.5125 218.282 0
10 10 0 0 0 0 0 22.6743 316.797 0
10 11 0 1 1 0 0 25.007 373.115 1
10 12 0 0 0 0 0 24.2189 377.965 0
10 13 0 0 0 0 0 20.1286 303.204 0
10 14 0 0 0 0 0 15.467 215.017 0
10 15 0 0 0 0 0 12.042 161.043 0
10 16 0 0 0 0 0 10.0045 143.994 0
10 17 0 0 0 0 0 8.22887 129.149 0
10 18 0 0 0 0 0 6.39971 107.962 0
10 19 0 0 0 0 0 4.41201 78.374 0
10 20 0 0 0 0 0 2.2588 41.3878 0
11 0 0 0 0 0 0 2.1625 31.9012 0
11 1 0 0 0 0 0 4.21444 59.9437 0
11 2 0 0 0 0 0 6.06516 81.3699 0
11 3 0 0 0 0 0 7.66327 95.3055 0
11 4 0 0 0 0 0 9.01092 102.963 0
11 5 0 0 0 0 0 10.1653 107.086 0
11 6 0 0 0 0 0 11.2352 111.268 0
11 7 0 0 0 0 0 12.3782 119.669 0
11 8 0 0 0 0 0 13.8037 138.069 0
11 9 0 0 0 0 0 15.4363 164.133 0
11 10 0 0 0 0 0 16.9602 193.437 0
11 11 0 0 0 0 0 17.6465 210.028 0
11 12 0 0 0 0 0 17.3499 219.032 0
