# x y z nCells HealthyCells CancerCells OarCells glucose oxygen voxel_type
0 0 0 0 0 0 0 1.20697 32.64 0
0 1 0 0 0 0 0 2.25318 60.0496 0
0 2 0 0 0 0 0 3.08409 80.6363 0
0 3 0 0 0 0 0 3.78734 97.662 0
0 4 0 0 0 0 0 4.53446 117.209 0
0 5 0 0 0 0 0 5.46958 144.327 0
0 6 0 0 0 0 0 6.60897 179.571 0
0 7 0 0 0 0 0 7.81371 218.085 0
0 8 0 0 0 0 0 8.86813 252.345 0
0 9 0 0 0 0 0 9.65778 278.342 0
0 10 0 0 0 0 0 10.5062 307.25 0
0 11 0 0 0 0 0 12.9633 392.721 0
0 12 0 0 0 0 0 16.0166 499.721 0
0 13 0 0 0 0 0 18.254 579.404 0
0 14 0 0 0 0 0 16.3233 515.768 0
0 15 0 0 0 0 0 12.0876 373.359 0
0 16 0 0 0 0 0 7.34357 214.413 0
0 17 0 0 0 0 0 4.38973 118.495 0
0 18 0 0 0 0 0 2.63746 65.1667 0
0 19 0 0 0 0 0 1.5208 34.6941 0
0 20 0 0 0 0 0 0.702538 15.1779 0
1 0 0 0 0 0 0 2.45397 67.0005 0
1 1 0 0 0 0 0 4.55555 122.455 0
1 2 0 0 0 0 0 6.18399 162.76 0
1 3 0 0 0 0 0 7.52093 194.648 0
1 4 0 0 0 0 0 8.91301 230.393 0
1 5 0 0 0 0 0 10.6321 279.522 0
1 6 0 0 0 0 0 12.6872 342.328 0
1 7 0 0 0 0 0 14.8015 409.138 0
1 8 0 0 0 0 0 16.5845 466.331 0
1 9 0 0 0 0 0 17.8365 506.929 0
1 10 0 0 0 0 0 19.0294 547.262 0
1 11 0 0 0 0 0 22.4814 667.595 0
1 12 0 0 0 0 0 26.5511 811.139 0
1 13 0 0 0 0 0 29.3575 912.8 0
1 14 0 0 0 0 0 25.9897 802.633 0
1 15 0 0 0 0 0 19.548 588.03 0
1 16 0 0 0 0 0 12.3729 350.086 0
1 17 0 0 0 0 0 7.82007 204.964 0
1 18 0 0 0 0 0 4.87257 117.349 0
1 19 0 0 0 0 0 2.86732 64.0113 0
1 20 0 0 0 0 0 1.33697 28.3345 0
2 0 0 0 0 0 0 3.67873 101.222 0
2 1 0 0 0 0 0 6.79407 183.882 0
2 2 0 0 0 0 0 9.15777 242.292 0
2 3 0 0 0 0 0 11.0722 287.55 0
2 4 0 0 0 0 0 13.0722 338.556 0
2 5 0 0 0 0 0 15.5276 408.263 0
2 6 0 0 0 0 0 18.3308 492.902 0
2 7 0 0 0 0 0 20.9884 575.272 0
2 8 0 0 0 0 0 22.9421 635.938 0
2 9 0 0 0 0 0 24.0182 668.853 0
2 10 0 0 0 0 0 24.7594 692.946 0
2 11 0 0 0 0 0 26.917 768.924 0
2 12 0 0 0 0 0 29.3778 858.314 0
2 13 0 0 0 0 0 30.5966 907.489 0
2 14 0 0 0 0 0 27.1509 797.929 0
2 15 0 0 0 0 0 21.2092 604.735 0
2 16 0 0 0 0 0 14.636 392.575 0
2 17 0 0 0 0 0 9.9137 247.398 0
2 18 0 0 0 0 0 6.48733 149.841 0
2 19 0 0 0 0 0 3.92359 84.5214 0
2 20 0 0 0 0 0 1.85374 38.0536 0
3 0 0 0 0 0 0 4.68881 128.873 0
3 1 0 0 0 0 0 8.64949 233.727 0
3 2 0 0 0 0 0 11.6593 307.887 0
3 3 0 0 0 0 0 14.1771 368.018 0
3 4 0 0 0 0 0 17.0903 445.292 0
3 5 0 0 0 0 0 20.8144 554.244 0
3 6 0 0 0 0 0 24.9263 680.126 0
3 7 0 0 0 0 0 28.0595 775.449 0
3 8 0 0 0 0 0 29.432 813.131 0
3 9 0 0 0 0 0 29.1008 795.396 0
3 10 0 0 0 0 0 28.2796 764.773 0
3 11 0 0 0 0 0 28.2788 766.775 0
3 12 0 0 0 0 0 28.5145 781.07 0
3 13 0 0 0 0 0 27.9597 771.617 0
3 14 0 0 0 0 0 24.7643 674.152 0
3 15 0 0 0 0 0 20.1608 531.351 0
3 16 0 0 0 0 0 15.0838 375.703 0
3 17 0 0 0 0 0 10.9305 255.607 0
3 18 0 0 0 0 0 7.4884 163.528 0
3 19 0 0 0 0 0 4.65787 95.5824 0
3 20 0 0 0 0 0 2.23237 43.8603 0
4 0 0 0 0 0 0 5.27035 142.697 0
4 1 0 0 0 0 0 9.76738 260.001 0
4 2 0 0 0 0 0 13.2939 346.285 0
4 3 0 0 0 0 0 16.4897 424.565 0
4 4 0 0 0 0 0 20.7308 542.921 0
4 5 0 0 0 0 0 28.138 774.818 0
4 6 0 0 0 0 0 36.0364 1027.55 0
4 7 0 0 0 0 0 41.5105 1199.97 0
4 8 0 0 0 0 0 40.023 1135.35 0
4 9 0 0 0 0 0 35.5232 970.993 0
4 10 0 0 0 0 0 30.6888 800.749 0
4 11 0 0 0 0 0 28.3247 721.982 0
4 12 0 0 0 0 0 26.737 675.631 0
4 13 0 0 0 0 0 24.8457 623.236 0
4 14 0 0 0 0 0 22.1782 547.8 0
4 15 0 0 0 0 0 18.7336 449.226 0
4 16 0 0 0 0 0 14.9728 343.591 0
4 17 0 0 0 0 0 11.3152 245.524 0
4 18 0 0 0 0 0 8.02353 163.955 0
4 19 0 0 0 0 0 5.10878 98.8287 0
4 20 0 0 0 0 0 2.48097 46.1878 0
5 0 0 0 0 0 0 5.32882 139.479 0
5 1 0 0 0 0 0 9.98443 257.169 0
5 2 0 0 0 0 0 13.8497 350.312 0
5 3 0 0 0 0 0 17.6873 446.202 0
5 4 0 0 0 0 0 23.4171 611.66 0
5 5 0 0 0 0 0 34.7656 974.981 0
5 6 0 0 0 0 0 70.0237 2169.87 0
5 7 0 0 0 0 0 77.942 2422.19 0
5 8 0 0 0 0 0 73.4699 2249.86 0
5 9 0 0 0 0 0 41.3374 1125.72 0
