# x y z nCells HealthyCells CancerCells OarCells glucose oxygen voxel_type
0 0 0 0 0 0 0 1.14411 26.1906 0
0 1 0 0 0 0 0 2.14299 48.0069 0
0 2 0 0 0 0 0 2.94247 64.1325 0
0 3 0 0 0 0 0 3.61218 77.3671 0
0 4 0 0 0 0 0 4.31879 93.6706 0
0 5 0 0 0 0 0 5.32044 121.978 0
0 6 0 0 0 0 0 7.02984 176.429 0
0 7 0 0 0 0 0 9.73718 266.839 0
0 8 0 0 0 0 0 12.762 369.403 0
0 9 0 0 0 0 0 14.892 441.944 0
0 10 0 0 0 0 0 15.2047 452.384 0
0 11 0 0 0 0 0 14.7171 435.881 0
0 12 0 0 0 0 0 15.3396 458.615 0
0 13 0 0 0 0 0 16.4831 500.334 0
0 14 0 0 0 0 0 16.6209 508.412 0
0 15 0 0 0 0 0 13.4683 404.005 0
0 16 0 0 0 0 0 9.15798 261.169 0
0 17 0 0 0 0 0 5.21782 132.938 0
0 18 0 0 0 0 0 3.05184 67.9126 0
0 19 0 0 0 0 0 1.75617 34.614 0
0 20 0 0 0 0 0 0.818083 14.9035 0
1 0 0 0 0 0 0 2.35452 55.3292 0
1 1 0 0 0 0 0 4.37423 100.342 0
1 2 0 0 0 0 0 5.93948 131.982 0
1 3 0 0 0 0 0 7.21418 156.684 0
1 4 0 0 0 0 0 8.55039 187.005 0
1 5 0 0 0 0 0 10.4205 239.295 0
1 6 0 0 0 0 0 13.5101 337.001 0
1 7 0 0 0 0 0 18.3115 496.72 0
1 8 0 0 0 0 0 23.558 674.119 0
1 9 0 0 0 0 0 27.1799 797.145 0
1 10 0 0 0 0 0 27.6114 811.325 0
1 11 0 0 0 0 0 27.0049 791.069 0
1 12 0 0 0 0 0 28.8779 858.237 0
1 13 0 0 0 0 0 32.9376 1002.97 0
1 14 0 0 0 0 0 33.4997 1028.91 0
1 15 0 0 0 0 0 27.3118 823.96 0
1 16 0 0 0 0 0 17.622 500.995 0
1 17 0 0 0 0 0 9.94222 251.099 0
1 18 0 0 0 0 0 5.81412 127.632 0
1 19 0 0 0 0 0 3.36111 65.266 0
1 20 0 0 0 0 0 1.57029 28.1801 0
2 0 0 0 0 0 0 3.58872 86.5031 0
2 1 0 0 0 0 0 6.61167 155.251 0
2 2 0 0 0 0 0 8.88036 201.281 0
2 3 0 0 0 0 0 10.7027 236.341 0
2 4 0 0 0 0 0 12.6464 280.617 0
2 5 0 0 0 0 0 15.3212 355.21 0
2 6 0 0 0 0 0 19.3472 481.174 0
2 7 0 0 0 0 0 25.2328 675.473 0
2 8 0 0 0 0 0 31.2403 877.275 0
2 9 0 0 0 0 0 35.2146 1011.4 0
2 10 0 0 0 0 0 35.3669 1015.55 0
2 11 0 0 0 0 0 34.8366 998.272 0
2 12 0 0 0 0 0 38.1186 1115.3 0
2 13 0 0 0 0 0 43.9927 1324.77 0
2 14 0 0 0 0 0 45.1592 1374.59 0
2 15 0 0 0 0 0 36.6652 1093.98 0
2 16 0 0 0 0 0 23.8194 667.332 0
2 17 0 0 0 0 0 13.4342 330.866 0
2 18 0 0 0 0 0 8.00386 170.925 0
2 19 0 0 0 0 0 4.68275 88.4722 0
2 20 0 0 0 0 0 2.20177 38.4898 0
3 0 0 0 0 0 0 4.64119 112.988 0
3 1 0 0 0 0 0 8.51985 201.884 0
3 2 0 0 0 0 0 11.4091 260.796 0
3 3 0 0 0 0 0 13.8031 308.208 0
3 4 0 0 0 0 0 16.6414 377.303 0
3 5 0 0 0 0 0 20.5625 490.174 0
3 6 0 0 0 0 0 25.735 652.14 0
3 7 0 0 0 0 0 31.5242 840.435 0
3 8 0 0 0 0 0 36.283 997.211 0
3 9 0 0 0 0 0 38.5231 1070.25 0
3 10 0 0 0 0 0 37.9767 1049.86 0
3 11 0 0 0 0 0 37.5793 1037.5 0
3 12 0 0 0 0 0 40.4838 1142.49 0
3 13 0 0 0 0 0 45.5106 1324.44 0
3 14 0 0 0 0 0 45.5004 1336.2 0
3 15 0 0 0 0 0 37.4215 1073.66 0
3 16 0 0 0 0 0 25.0952 669.877 0
3 17 0 0 0 0 0 15.2337 357.697 0
3 18 0 0 0 0 0 9.42915 192.244 0
3 19 0 0 0 0 0 5.64001 102.188 0
3 20 0 0 0 0 0 2.67996 45.096 0
4 0 0 0 0 0 0 5.27135 126.647 0
4 1 0 0 0 0 0 9.70843 227.098 0
4 2 0 0 0 0 0 13.1048 296.495 0
4 3 0 0 0 0 0 16.1519 360.372 0
4 4 0 0 0 0 0 20.2718 468.713 0
4 5 0 0 0 0 0 27.7114 699.277 0
4 6 0 0 0 0 0 36.2195 973.527 0
4 7 0 0 0 0 0 43.3892 1207.23 0
4 8 0 0 0 0 0 44.322 1229.88 0
4 9 0 0 0 0 0 42.013 1144.42 0
4 10 0 0 0 0 0 38.3152 1014.58 0
4 11 0 0 0 0 0 37.2158 978.239 0
4 12 0 0 0 0 0 38.5343 1029.32 0
4 13 0 0 0 0 0 40.1375 1094.45 0
4 14 0 0 0 0 0 38.6746 1058.33 0
4 15 0 0 0 0 0 32.0654 849.874 0
4 16 0 0 0 0 0 23.2991 573.437 0
