# x y z nCells HealthyCells CancerCells OarCells glucose oxygen voxel_type
0 0 0 0 0 0 0 1.21085 32.4899 0
0 1 0 0 0 0 0 2.25787 59.6619 0
0 2 0 0 0 0 0 3.08534 79.8997 0
0 3 0 0 0 0 0 3.78489 96.6149 0
0 4 0 0 0 0 0 4.53972 116.298 0
0 5 0 0 0 0 0 5.51494 144.723 0
0 6 0 0 0 0 0 6.746 183.104 0
0 7 0 0 0 0 0 8.08784 226.359 0
0 8 0 0 0 0 0 9.281 265.435 0
0 9 0 0 0 0 0 10.1317 293.565 0
0 10 0 0 0 0 0 10.8242 317.084 0
0 11 0 0 0 0 0 12.6479 380.629 0
0 12 0 0 0 0 0 15.2407 471.674 0
0 13 0 0 0 0 0 17.3437 546.688 0
0 14 0 0 0 0 0 16.1288 507.831 0
0 15 0 0 0 0 0 12.2961 379.409 0
0 16 0 0 0 0 0 7.72738 226.609 0
0 17 0 0 0 0 0 4.52853 122.338 0
0 18 0 0 0 0 0 2.69063 66.2278 0
0 19 0 0 0 0 0 1.54713 35.0552 0
0 20 0 0 0 0 0 0.71431 15.3005 0
1 0 0 0 0 0 0 2.47617 67.2187 0
1 1 0 0 0 0 0 4.58781 122.509 0
1 2 0 0 0 0 0 6.21016 162.162 0
1 3 0 0 0 0 0 7.5351 193.285 0
1 4 0 0 0 0 0 8.93333 228.998 0
1 5 0 0 0 0 0 10.7135 280.096 0
1 6 0 0 0 0 0 12.9145 347.895 0
1 7 0 0 0 0 0 15.2482 422.312 0
1 8 0 0 0 0 0 17.2539 487.26 0
1 9 0 0 0 0 0 18.6081 531.454 0
1 10 0 0 0 0 0 19.5818 564.235 0
1 11 0 0 0 0 0 22.093 651.993 0
1 12 0 0 0 0 0 25.3756 768.243 0
1 13 0 0 0 0 0 27.8542 858.506 0
1 14 0 0 0 0 0 25.4374 781.237 0
1 15 0 0 0 0 0 19.684 590.51 0
1 16 0 0 0 0 0 12.881 365.581 0
1 17 0 0 0 0 0 8.06172 211.479 0
1 18 0 0 0 0 0 4.98032 119.575 0
1 19 0 0 0 0 0 2.92151 64.8241 0
1 20 0 0 0 0 0 1.36066 28.6036 0
2 0 0 0 0 0 0 3.73882 102.522 0
2 1 0 0 0 0 0 6.88498 185.524 0
2 2 0 0 0 0 0 9.24102 243.047 0
2 3 0 0 0 0 0 11.1292 286.912 0
2 4 0 0 0 0 0 13.1218 337.333 0
2 5 0 0 0 0 0 15.6344 408.845 0
2 6 0 0 0 0 0 18.5886 498.679 0
2 7 0 0 0 0 0 21.4757 589.066 0
2 8 0 0 0 0 0 23.6631 657.957 0
2 9 0 0 0 0 0 24.8564 695.076 0
2 10 0 0 0 0 0 25.4206 713.121 0
2 11 0 0 0 0 0 26.8484 763.814 0
2 12 0 0 0 0 0 28.6246 829.376 0
2 13 0 0 0 0 0 29.5427 867.985 0
2 14 0 0 0 0 0 26.7345 780.395 0
2 15 0 0 0 0 0 21.3649 607.028 0
2 16 0 0 0 0 0 15.1038 405.835 0
2 17 0 0 0 0 0 10.2122 255.12 0
2 18 0 0 0 0 0 6.64491 153.167 0
2 19 0 0 0 0 0 4.00454 85.8161 0
2 20 0 0 0 0 0 1.88856 38.4772 0
3 0 0 0 0 0 0 4.79227 131.491 0
3 1 0 0 0 0 0 8.80843 237.372 0
3 2 0 0 0 0 0 11.8109 310.522 0
3 3 0 0 0 0 0 14.2884 368.682 0
3 4 0 0 0 0 0 17.1772 444.746 0
3 5 0 0 0 0 0 20.9409 554.919 0
3 6 0 0 0 0 0 25.1773 685.183 0
3 7 0 0 0 0 0 28.5026 787.403 0
3 8 0 0 0 0 0 30.0713 832.207 0
3 9 0 0 0 0 0 29.8528 818.666 0
3 10 0 0 0 0 0 28.9587 785.61 0
3 11 0 0 0 0 0 28.5776 774.341 0
3 12 0 0 0 0 0 28.3997 774.026 0
3 13 0 0 0 0 0 27.6301 756.822 0
3 14 0 0 0 0 0 24.6998 668.304 0
3 15 0 0 0 0 0 20.4157 536.492 0
3 16 0 0 0 0 0 15.5061 386.771 0
3 17 0 0 0 0 0 11.2548 263.637 0
3 18 0 0 0 0 0 7.67856 167.488 0
3 19 0 0 0 0 0 4.75862 97.2071 0
3 20 0 0 0 0 0 2.27581 44.3965 0
4 0 0 0 0 0 0 5.40058 146.108 0
4 1 0 0 0 0 0 9.96933 264.885 0
4 2 0 0 0 0 0 13.4914 350.169 0
4 3 0 0 0 0 0 16.6419 426.261 0
4 4 0 0 0 0 0 20.8508 543.173 0
4 5 0 0 0 0 0 28.2849 775.982 0
4 6 0 0 0 0 0 36.2809 1032.39 0
4 7 0 0 0 0 0 41.9043 1210.54 0
4 8 0 0 0 0 0 40.5685 1151.78 0
4 9 0 0 0 0 0 36.1704 991.419 0
4 10 0 0 0 0 0 31.3419 821.472 0
4 11 0 0 0 0 0 28.9108 740.137 0
4 12 0 0 0 0 0 27.2362 690.235 0
4 13 0 0 0 0 0 25.3188 636.347 0
4 14 0 0 0 0 0 22.6682 561.024 0
4 15 0 0 0 0 0 19.2315 462.482 0
4 16 0 0 0 0 0 15.4055 354.636 0
4 17 0 0 0 0 0 11.6326 252.912 0
4 18 0 0 0 0 0 8.22148 167.831 0
4 19 0 0 0 0 0 5.21813 100.491 0
4 20 0 0 0 0 0 2.52919 46.7524 0
5 0 0 0 0 0 0 5.4523 142.573 0
5 1 0 0 0 0 0 10.1782 261.615 0
5 2 0 0 0 0 0 14.045 353.926 0
5 3 0 0 0 0 0 17.8479 448.003 0
5 4 0 0 0 0 0 23.556 612.47 0
5 5 0 0 0 0 0 34.959 978.388 0
5 6 0 0 0 0 0 70.3171 2177.63 0
5 7 0 0 0 0 0 78.377 2436.1 0
5 8 0 0 0 0 0 74.0191 2268.39 0
5 9 0 0 0 0 0 41.9786 1148.08 0
5 10 0 0 0 0 0 33.2958 843.947 0
5 11 0 0 0 0 0 29.6809 723.838 0
5 12 0 0 0 0 0 27.512 660.407 0
5 13 0 0 0 0 0 25.1727 595.526 0
5 14 0 0 0 0 0 22.2361 514.032 0
5 15 0 0 0 0 0 18.8109 419.829 0
5 16 0 0 0 0 0 15.2081 323.778 0
5 17 0 0 0 0 0 11.7045 235.637 0
5 18 0 0 0 0 0 8.44838 160.44 0
5 19 0 0 0 0 0 5.45975 98.4551 0
5 20 0 0 0 0 0 2.67638 46.5693 0
6 0 0 0 0 0 0 5.06993 125.108 0
6 1 0 0 0 0 0 9.623 234.036 0
6 2 0 0 0 0 0 13.6224 326.954 0
6 3 0 0 0 0 0 17.8497 431.872 0
6 4 0 0 0 0 0 24.3282 619.114 0
6 5 0 0 0 0 0 38.4233 1074.05 0
6 6 0 0 0 0 0 76.3685 2357.43 0
6 7 0 0 0 0 0 86.3848 2679.65 0
6 8 0 0 0 0 0 79.897 2434.89 0
6 9 0 0 0 0 0 45.6033 1234.48 0
6 10 0 0 0 0 0 35.2754 872.602 0
6 11 0 0 0 0 0 32.2505 774.153 0
6 12 0 0 0 0 0 30.3594 724.25 0
6 13 0 0 0 0 0 27.4643 644.011 0
6 14 0 0 0 0 0 23.3962 527.4 0
6 15 0 0 0 0 0 19.1009 406.934 0
6 16 0 0 0 0 0 15.1313 301.854 0
6 17 0 0 0 0 0 11.6641 218.534 0
6 18 0 0 0 0 0 8.514 150.669 0
6 19 0 0 0 0 0 5.57028 94.0898 0
6 20 0 0 0 0 0 2.75448 45.1216 0
7 0 0 0 0 0 0 4.50801 102.456 0
7 1 0 0 0 0 0 8.71872 196.377 0
7 2 0 0 0 0 0 12.658 284.114 0
7 3 0 0 0 0 0 16.9297 387.432 0
7 4 0 0 0 0 0 23.1347 561.866 0
7 5 0 0 0 0 0 34.7525 927.35 0
7 6 0 0 0 0 0 69.9361 2111.11 0
7 7 0 0 0 0 0 77.7908 2354.98 0
7 8 0 0 0 0 0 73.6255 2187.81 0
7 9 0 1 1 0 0 42.8949 1105.42 1
7 10 0 0 0 0 0 38.6931 955.381 0
7 11 0 0 0 0 0 39.9609 1006.41 0
7 12 0 0 0 0 0 40.7675 1053.07 0
7 13 0 0 0 0 0 35.4973 896.72 0
7 14 0 0 0 0 0 27.716 655.511 0
7 15 0 0 0 0 0 20.0538 422.098 0
7 16 0 0 0 0 0 15.2336 290.772 0
7 17 0 0 0 0 0 11.6325 205.672 0
7 18 0 0 0 0 0 8.53182 142.3 0
7 19 0 0 0 0 0 5.62883 90.0191 0
7 20 0 0 0 0 0 2.80169 43.6693 0
8 0 0 0 0 0 0 4.00597 82.8178 0
8 1 0 0 0 0 0 7.87386 162.616 0
8 2 0 0 0 0 0 11.6415 242.141 0
8 3 0 0 0 0 0 15.6623 334.408 0
8 4 0 0 0 0 0 20.7436 467.38 0
8 5 0 0 0 0 0 28.5185 697.147 0
8 6 0 0 0 0 0 36.1489 924.264 0
8 7 0 0 0 0 0 41.2004 1067.57 0
8 8 0 0 0 0 0 40.021 1002.85 0
8 9 0 0 0 0 0 38.1207 920.539 0
8 10 0 0 0 0 0 41.4927 1028.76 0
8 11 0 1 1 0 0 70.7233 2032.81 1
8 12 0 0 0 0 0 75.1544 2218.42 0
8 13 0 0 0 0 0 67.374 1978.23 0
8 14 0 0 0 0 0 32.4029 800.345 0
8 15 0 0 0 0 0 21.1737 447.329 0
8 16 0 0 0 0 0 15.4184 287.159 0
8 17 0 0 0 0 0 11.6669 198.816 0
8 18 0 0 0 0 0 8.59144 138.22 0
8 19 0 0 0 0 0 5.70911 88.6299 0
8 20 0 0 0 0 0 2.85768 43.498 0
9 0 0 0 0 0 0 3.66976 69.7858 0
9 1 0 0 0 0 0 7.29263 139.684 0
9 2 0 0 0 0 0 10.8907 211.87 0
9 3 0 0 0 0 0 14.5885 291.401 0
9 4 0 0 0 0 0 18.6113 386.249 0
9 5 0 0 0 0 0 22.7782 489.817 0
9 6 0 0 0 0 0 26.5028 581.701 0
9 7 0 0 0 0 0 28.8593 630.787 0
9 8 0 0 0 0 0 30.2303 653.767 0
9 9 0 0 0 0 0 32.5823 718.304 0
9 10 0 0 0 0 0 42.1138 1040.09 0
9 11 0 0 0 0 0 75.7499 2208.39 0
9 12 0 0 0 0 0 82.0237 2443.43 0
9 13 0 0 0 0 0 72.3887 2139.77 0
9 14 0 0 0 0 0 35.0403 882.459 0
9 15 0 0 0 0 0 21.5596 453.846 0
9 16 0 0 0 0 0 15.5553 286.284 0
9 17 0 0 0 0 0 11.8304 199.902 0
9 18 0 0 0 0 0 8.80171 141.974 0
9 19 0 0 0 0 0 5.90572 93.0326 0
9 20 0 0 0 0 0 2.97532 46.3515 0
10 0 0 0 0 0 0 3.49369 63.125 0
10 1 0 0 0 0 0 6.99043 128.05 0
10 2 0 0 0 0 0 10.4984 196.432 0
10 3 0 0 0 0 0 14.012 268.929 0
10 4 0 0 0 0 0 17.435 342.571 0
10 5 0 0 0 0 0 20.5246 408.881 0
10 6 0 0 0 0 0 22.9433 456.125 0
10 7 0 0 0 0 0 24.5718 480.596 0
10 8 0 0 0 0 0 26.023 507.323 0
10 9 0 1 1 0 0 28.674 578.859 1
10 10 0 0 0 0 0 36.9813 866.179 0
10 11 0 0 0 0 0 68.6375 1966.23 0
10 12 0 0 0 0 0 73.1762 2139.8 0
10 13 0 0 0 0 0 65.8928 1915.08 0
10 14 0 0 0 0 0 31.5626 761.446 0
10 15 0 0 0 0 0 20.9577 431.897 0
10 16 0 0 0 0 0 15.7152 290.498 0
10 17 0 0 0 0 0 12.3141 215.335 0
10 18 0 0 0 0 0 9.36782 160.488 0
10 19 0 0 0 0 0 6.38247 108.775 0
10 20 0 0 0 0 0 3.24386 55.2567 0
11 0 0 0 0 0 0 3.41378 60.6264 0
11 1 0 0 0 0 0 6.86605 124.233 0
11 2 0 0 0 0 0 10.3709 192.656 0
11 3 0 0 0 0 0 13.8759 265.052 0
11 4 0 0 0 0 0 17.2065 335.954 0
11 5 0 0 0 0 0 20.0548 394.861 0
11 6 0 0 0 0 0 22.1205 431.635 0
11 7 0 0 0 0 0 23.3579 445.34 0
11 8 0 0 0 0 0 24.2578 454.926 0
11 9 0 0 0 0 0 25.9314 500.545 0
11 10 0 0 0 0 0 30.3118 649.214 0
11 11 0 0 0 0 0 34.8489 812.542 0
11 12 0 0 0 0 0 37.0459 904.227 0
11 13 0 0 0 0 0 32.8441 783.406 0
11 14 0 0 0 0 0 26.3511 589.451 0
11 15 0 0 0 0 0 20.0215 404.744 0
11 16 0 0 0 0 0 16.3689 315.77 0
11 17 0 0 0 0 0 13.5554 260.127 0
11 18 0 0 0 0 0 10.6863 207.408 0
11 19 0 0 0 0 0 7.43497 146.04 0
11 20 0 0 0 0 0 3.81805 75.5453 0
12 0 0 0 0 0 0 3.35769 59.8329 0
12 1 0 0 0 0 0 6.78263 123.598 0
12 2 0 0 0 0 0 10.3084 193.788 0
12 3 0 0 0 0 0 13.8894 269.888 0
12 4 0 0 0 0 0 17.3227 345.543 0
12 5 0 0 0 0 0 20.247 408.701 0
12 6 0 0 0 0 0 22.2638 445.893 0
12 7 0 0 0 0 0 23.2197 452.309 0
12 8 0 0 0 0 0 23.4555 441.531 0
12 9 0 0 0 0 0 23.7209 440.987 0
12 10 0 0 0 0 0 24.3479 461.326 0
12 11 0 0 0 0 0 25.1841 498.301 0
12 12 0 0 0 0 0 25.1834 513.189 0
12 13 0 0 0 0 0 24.0814 497.108 0
12 14 0 0 0 0 0 22.0724 453.695 0
12 15 0 0 0 0 0 20.1084 416.391 0
12 16 0 0 0 0 0 18.3245 389.947 0
12 17 0 0 0 0 0 16.3143 360.572 0
12 18 0 0 0 0 0 13.4304 306.069 0
12 19 0 0 0 0 0 9.54799 221.64 0
12 20 0 0 0 0 0 4.93426 115.418 0
13 0 0 0 0 0 0 3.26301 58.6578 0
13 1 0 0 0 0 0 6.61004 121.785 0
13 2 0 0 0 0 0 10.0947 192.571 0
13 3 0 0 0 0 0 13.692 271.22 0
13 4 0 0 0 0 0 17.2049 351.624 0
13 5 0 0 0 0 0 20.2434 420.903 0
13 6 0 0 0 0 0 22.3178 462.544 0
13 7 0 0 0 0 0 23.1554 467.629 0
13 8 0 0 0 0 0 22.9489 444.04 0
13 9 0 0 0 0 0 22.276 412.805 0
13 10 0 0 0 0 0 21.6899 393.12 0
13 11 0 0 0 0 0 21.393 390.662 0
13 12 0 0 0 0 0 21.3248 401.827 0
13 13 0 0 0 0 0 21.4253 423.774 0
13 14 0 0 0 0 0 21.7526 458.207 0
13 15 0 0 0 0 0 22.2203 502.239 0
13 16 0 0 0 0 0 22.4576 543.299 0
13 17 0 0 0 0 0 21.4302 545.861 0
13 18 0 0 0 0 0 18.4248 485.16 0
13 19 0 0 0 0 0 13.2213 352.985 0
13 20 0 0 0 0 0 6.82416 182.955 0
14 0 0 0 0 0 0 3.0883 55.7518 0
14 1 0 0 0 0 0 6.2598 115.889 0
14 2 0 0 0 0 0 9.57439 183.805 0
14 3 0 0 0 0 0 13.0267 260.362 0
14 4 0 0 0 0 0 16.4495 340.5 0
14 5 0 0 0 0 0 19.4759 412.183 0
