episode,reward,epsilon_start,epsilon_end,mean_loss
1,0.7114833333333334,1.0,0.9998385,nan
2,-1.0097200000000002,0.999829,0.9993635,nan
3,-1.1372000000000002,0.999354,0.9988885,nan
4,-1.0355099999999997,0.998879,0.9984135,nan
5,-1.12665,0.998404,0.9979385,nan
6,-1.0074499999999997,0.997929,0.9974635,nan
7,-1.1422199999999998,0.997454,0.9969885,nan
8,-0.9836900000000002,0.996979,0.9965135,nan
9,-1.2151799999999997,0.996504,0.9960385,nan
10,-1.0418799999999997,0.996029,0.9955635,nan
11,-1.0216899999999998,0.995554,0.9950885,nan
